,Sample_id,Carbon source,Hours,AUC [gDW*h/L],Bioreactor,Timepoint,Metabolite,Z-score
150,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,18.0,1.718588757293409,REL08,3,2-hydroxybutyrate,2.1072323850162364
151,SM_MPTA_112023_M9_L-malate_002_44,L-malate,0.0,0.0,,0,2-hydroxybutyrate,
152,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,18.0,1.9627468841916456,REL07,3,2-hydroxybutyrate,0.1813413790432321
153,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,6.0,0.2093431136310292,REL06,1,2-hydroxybutyrate,-0.569431482001506
154,SM_MPTA_112023_M9_L-alanine_003_39,L-alanine,0.0,0.0,,0,2-hydroxybutyrate,
155,SM_MPTA_112023_M9_L-malate_001_43,L-malate,0.0,0.0,,0,2-hydroxybutyrate,-0.8815021551549844
156,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,6.0,0.2588140496960388,REL04,1,2-hydroxybutyrate,-0.5496492865829259
157,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,8.0,0.4312240363242068,REL03,1,2-hydroxybutyrate,-0.8733544661692976
158,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,18.0,8.140262892924916,REL02,4,2-hydroxybutyrate,-0.9227863725911004
159,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,22.0,4.314250397619318,REL08,4,2-hydroxybutyrate,-0.2516212395099112
160,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,18.0,7.65846961218036,REL01,4,2-hydroxybutyrate,
161,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,16.0,3.4179267393150816,REL03,3,2-hydroxybutyrate,2.5263922156040803
162,SM_MPTA_112023_M9_L-malate_003_45,L-malate,0.0,0.0,,0,2-hydroxybutyrate,
163,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,12.0,2.385225810049673,REL06,4,2-hydroxybutyrate,-0.8914715704243363
164,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,9.25,0.7606505791012634,REL06,2,2-hydroxybutyrate,-0.3577630851373073
165,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,18.0,1.7064401126297837,REL09,3,2-hydroxybutyrate,0.592604137331171
166,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,22.0,4.508036095424472,REL07,4,2-hydroxybutyrate,-0.6444275038914691
167,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,10.0,0.9785183455570544,REL05,2,2-hydroxybutyrate,-0.450576448265492
168,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,14.0,3.5031324525164917,REL02,3,2-hydroxybutyrate,0.0806035768965438
169,SM_MPTA_112023_M9_Galactose_003_42,Galactose,0.0,0.0,,0,2-hydroxybutyrate,
170,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,20.0,7.426058906659442,REL03,4,2-hydroxybutyrate,-0.764795963827084
171,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,16.0,1.099304187854922,REL08,2,2-hydroxybutyrate,1.5472030700247588
172,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,10.0,0.3217909293828691,REL08,1,2-hydroxybutyrate,0.4256020346633719
173,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,10.0,0.296012098023468,REL09,1,2-hydroxybutyrate,0.4116721182940319
174,SM_MPTA_112023_M9_L-alanine_002_38,L-alanine,0.0,0.0,,0,2-hydroxybutyrate,
175,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,16.0,1.1067118980156694,REL09,2,2-hydroxybutyrate,0.9223386196699088
176,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,14.0,2.1848684507093163,REL03,2,2-hydroxybutyrate,0.7482309210661365
177,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,13.0,2.7850460023716854,REL05,4,2-hydroxybutyrate,-0.8187242995855083
178,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,9.25,1.034068337324968,REL04,2,2-hydroxybutyrate,-0.3304551771183169
179,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,10.0,1.0771807208731472,REL06,3,2-hydroxybutyrate,-0.3081543956144034
