Well,OD,Time,Strain,Carbon_Source,Replicate
B01,0.0366,11.66666667,Enterobacter,Ctrl,1
B01,0.0364,11.83333333,Enterobacter,Ctrl,1
B01,0.0365,12,Enterobacter,Ctrl,1
B01,0.0366,12.16666667,Enterobacter,Ctrl,1
B01,0.0365,12.33333333,Enterobacter,Ctrl,1
B01,0.0366,12.5,Enterobacter,Ctrl,1
B01,0.0366,12.66666667,Enterobacter,Ctrl,1
B01,0.0365,12.83333333,Enterobacter,Ctrl,1
B01,0.0365,13,Enterobacter,Ctrl,1
B01,0.0365,13.16666667,Enterobacter,Ctrl,1
B01,0.0365,13.33333333,Enterobacter,Ctrl,1
B01,0.0366,13.5,Enterobacter,Ctrl,1
B01,0.0364,13.66666667,Enterobacter,Ctrl,1
B01,0.0365,13.83333333,Enterobacter,Ctrl,1
B01,0.0365,14,Enterobacter,Ctrl,1
B01,0.0366,14.16666667,Enterobacter,Ctrl,1
B01,0.0366,14.33333333,Enterobacter,Ctrl,1
B01,0.0365,14.5,Enterobacter,Ctrl,1
B01,0.0365,14.66666667,Enterobacter,Ctrl,1
B01,0.0366,14.83333333,Enterobacter,Ctrl,1
B01,0.0365,15,Enterobacter,Ctrl,1
B01,0.0366,15.16666667,Enterobacter,Ctrl,1
B01,0.0367,15.33333333,Enterobacter,Ctrl,1
B01,0.0365,15.5,Enterobacter,Ctrl,1
B01,0.0367,15.66666667,Enterobacter,Ctrl,1
B01,0.0367,15.83333333,Enterobacter,Ctrl,1
B01,0.0366,16,Enterobacter,Ctrl,1
B01,0.0368,16.16666667,Enterobacter,Ctrl,1
B01,0.0366,16.33333333,Enterobacter,Ctrl,1
B01,0.0366,16.5,Enterobacter,Ctrl,1
B01,0.0367,16.66666667,Enterobacter,Ctrl,1
B01,0.0366,16.83333333,Enterobacter,Ctrl,1
B01,0.0367,17,Enterobacter,Ctrl,1
B01,0.0367,17.16666667,Enterobacter,Ctrl,1
B01,0.0367,17.33333333,Enterobacter,Ctrl,1
B01,0.0367,17.5,Enterobacter,Ctrl,1
B01,0.0368,17.66666667,Enterobacter,Ctrl,1
B01,0.0366,17.83333333,Enterobacter,Ctrl,1
B01,0.0367,18,Enterobacter,Ctrl,1
B01,0.0367,18.16666667,Enterobacter,Ctrl,1
B01,0.0366,18.33333333,Enterobacter,Ctrl,1
B01,0.0367,18.5,Enterobacter,Ctrl,1
B01,0.0368,18.66666667,Enterobacter,Ctrl,1
B01,0.0366,18.83333333,Enterobacter,Ctrl,1
B01,0.0366,19,Enterobacter,Ctrl,1
B01,0.0369,19.16666667,Enterobacter,Ctrl,1
B01,0.0367,19.33333333,Enterobacter,Ctrl,1
B01,0.0367,19.5,Enterobacter,Ctrl,1
B01,0.0368,19.66666667,Enterobacter,Ctrl,1
B01,0.0368,19.83333333,Enterobacter,Ctrl,1
B01,0.0369,20,Enterobacter,Ctrl,1
B01,0.0367,20.16666667,Enterobacter,Ctrl,1
B01,0.0368,20.33333333,Enterobacter,Ctrl,1
B01,0.0369,20.5,Enterobacter,Ctrl,1
B01,0.0367,20.66666667,Enterobacter,Ctrl,1
B01,0.0369,20.83333333,Enterobacter,Ctrl,1
B01,0.037,21,Enterobacter,Ctrl,1
B01,0.0368,21.16666667,Enterobacter,Ctrl,1
B01,0.0368,21.33333333,Enterobacter,Ctrl,1
B01,0.0369,21.5,Enterobacter,Ctrl,1
B01,0.0369,21.66666667,Enterobacter,Ctrl,1
B01,0.037,21.83333333,Enterobacter,Ctrl,1
B01,0.037,22,Enterobacter,Ctrl,1
B01,0.0369,22.16666667,Enterobacter,Ctrl,1
B01,0.037,22.33333333,Enterobacter,Ctrl,1
B01,0.0369,22.5,Enterobacter,Ctrl,1
B01,0.0369,22.66666667,Enterobacter,Ctrl,1
B01,0.0369,22.83333333,Enterobacter,Ctrl,1
B01,0.0369,23,Enterobacter,Ctrl,1
B01,0.0369,23.16666667,Enterobacter,Ctrl,1
B01,0.0369,23.33333333,Enterobacter,Ctrl,1
B01,0.0369,23.5,Enterobacter,Ctrl,1
B01,0.0369,23.66666667,Enterobacter,Ctrl,1
B01,0.0367,23.83333333,Enterobacter,Ctrl,1
B01,0.0369,24,Enterobacter,Ctrl,1
B01,0.0369,24.16666667,Enterobacter,Ctrl,1
B01,0.0369,24.33333333,Enterobacter,Ctrl,1
B01,0.0371,24.5,Enterobacter,Ctrl,1
B01,0.0369,24.66666667,Enterobacter,Ctrl,1
B01,0.0368,24.83333333,Enterobacter,Ctrl,1
B01,0.037,25,Enterobacter,Ctrl,1
B01,0.0369,25.16666667,Enterobacter,Ctrl,1
B01,0.037,25.33333333,Enterobacter,Ctrl,1
B01,0.037,25.5,Enterobacter,Ctrl,1
B01,0.0369,25.66666667,Enterobacter,Ctrl,1
B01,0.0369,25.83333333,Enterobacter,Ctrl,1
B01,0.0368,26,Enterobacter,Ctrl,1
B01,0.0371,26.16666667,Enterobacter,Ctrl,1
B01,0.037,26.33333333,Enterobacter,Ctrl,1
B01,0.0368,26.5,Enterobacter,Ctrl,1
B01,0.0371,26.66666667,Enterobacter,Ctrl,1
B01,0.0371,26.83333333,Enterobacter,Ctrl,1
B01,0.0369,27,Enterobacter,Ctrl,1
B01,0.037,27.16666667,Enterobacter,Ctrl,1
B01,0.037,27.33333333,Enterobacter,Ctrl,1
B01,0.0369,27.5,Enterobacter,Ctrl,1
B01,0.0369,27.66666667,Enterobacter,Ctrl,1
B01,0.037,27.83333333,Enterobacter,Ctrl,1
B01,0.0371,28,Enterobacter,Ctrl,1
B01,0.0371,28.16666667,Enterobacter,Ctrl,1
B01,0.0371,28.33333333,Enterobacter,Ctrl,1
B01,0.0371,28.5,Enterobacter,Ctrl,1
B01,0.0371,28.66666667,Enterobacter,Ctrl,1
B01,0.0371,28.83333333,Enterobacter,Ctrl,1
B01,0.0371,29,Enterobacter,Ctrl,1
B01,0.0372,29.16666667,Enterobacter,Ctrl,1
B01,0.0371,29.33333333,Enterobacter,Ctrl,1
B01,0.0371,29.5,Enterobacter,Ctrl,1
B01,0.0371,29.66666667,Enterobacter,Ctrl,1
B01,0.0372,29.83333333,Enterobacter,Ctrl,1
B01,0.0371,30,Enterobacter,Ctrl,1
B01,0.0371,30.16666667,Enterobacter,Ctrl,1
B01,0.0372,30.33333333,Enterobacter,Ctrl,1
B01,0.0371,30.5,Enterobacter,Ctrl,1
B01,0.0372,30.66666667,Enterobacter,Ctrl,1
B01,0.0371,30.83333333,Enterobacter,Ctrl,1
B01,0.0371,31,Enterobacter,Ctrl,1
B01,0.0371,31.16666667,Enterobacter,Ctrl,1
B01,0.0371,31.33333333,Enterobacter,Ctrl,1
B01,0.0371,31.5,Enterobacter,Ctrl,1
B01,0.0372,31.66666667,Enterobacter,Ctrl,1
B01,0.0373,31.83333333,Enterobacter,Ctrl,1
B01,0.0371,32,Enterobacter,Ctrl,1
B01,0.0372,32.16666667,Enterobacter,Ctrl,1
B01,0.0371,32.33333333,Enterobacter,Ctrl,1
B01,0.0373,32.5,Enterobacter,Ctrl,1
B01,0.0372,32.66666667,Enterobacter,Ctrl,1
B01,0.0372,32.83333333,Enterobacter,Ctrl,1
B01,0.0373,33,Enterobacter,Ctrl,1
B01,0.0372,33.16666667,Enterobacter,Ctrl,1
B01,0.0372,33.33333333,Enterobacter,Ctrl,1
B01,0.0371,33.5,Enterobacter,Ctrl,1
B01,0.0373,33.66666667,Enterobacter,Ctrl,1
B01,0.0373,33.83333333,Enterobacter,Ctrl,1
B01,0.0373,34,Enterobacter,Ctrl,1
B01,0.0371,34.16666667,Enterobacter,Ctrl,1
B01,0.0372,34.33333333,Enterobacter,Ctrl,1
B01,0.0372,34.5,Enterobacter,Ctrl,1
B01,0.0373,34.66666667,Enterobacter,Ctrl,1
B01,0.0371,34.83333333,Enterobacter,Ctrl,1
B01,0.0373,35,Enterobacter,Ctrl,1
B01,0.0373,35.16666667,Enterobacter,Ctrl,1
B01,0.0373,35.33333333,Enterobacter,Ctrl,1
B01,0.0371,35.5,Enterobacter,Ctrl,1
B01,0.0373,35.66666667,Enterobacter,Ctrl,1
B01,0.0373,35.83333333,Enterobacter,Ctrl,1
B01,0.0373,36,Enterobacter,Ctrl,1
B01,0.0373,36.16666667,Enterobacter,Ctrl,1
