,Carbon source,Phase,Metabolite,Intracellular concentration [uM],Error [uM],SEM [uM],# values,idx concentration sheet,Min,Max,LB,Min LB,UB,Max UB
132,L-alanine,Stationary,Trans-aconitate,42.05,11.564000000000004,5.900000000000002,2.0,"252,251",36.15,47.95,30.485999999999994,36.6,53.614000000000004,174.0
133,L-alanine,Exponential,Trans-aconitate,42.05,11.564000000000004,5.900000000000002,2.0,"252,251",36.15,47.95,30.485999999999994,36.6,53.614000000000004,174.0
134,L-alanine,Stationary,Tyrosine,37.8,0.0,0.0,1.0,261,37.8,37.8,37.8,37.8,37.8,37.8
135,L-alanine,Exponential,Tyrosine,91.20333333333333,46.37013070520481,23.658229951635107,5.0,"262,263,264,265,267",28.9,155.0,44.833202628128525,18.7,137.57346403853813,170.75129624295516
136,L-alanine,Stationary,Valine,181.0,0.0,0.0,1.0,275,181.0,181.0,181.0,181.0,181.0,181.0
137,L-alanine,Exponential,Valine,1549.6,1427.7234997211467,728.4303570005851,5.0,"270,272,273,274,278",157.5,4020.0,121.8765002788532,119.7013561041062,2977.3234997211466,4580.0
138,L-alanine,Stationary,Citrate,5333.833333333334,8160.724914638404,4163.635160529798,5.0,"56,57,52,51,55",165.83333333333334,21900.0,-2826.89158130507,154.40000000000003,13494.558247971738,27300.0
139,L-alanine,Exponential,Citrate,5333.833333333334,8160.724914638404,4163.635160529798,5.0,"56,57,52,51,55",165.83333333333334,21900.0,-2826.89158130507,154.40000000000003,13494.558247971738,27300.0
140,L-alanine,Stationary,Acetate,658.0,25.0,12.755102040816327,1.0,4,658.0,658.0,633.0,633.0,683.0,683.0
141,L-alanine,Exponential,Acetate,658.0,25.0,12.755102040816327,1.0,4,658.0,658.0,633.0,633.0,683.0,683.0
142,L-alanine,Stationary,Formate,184.0,25.0,12.755102040816327,1.0,64,184.0,184.0,159.0,159.0,209.0,209.0
143,L-alanine,Exponential,Formate,184.0,25.0,12.755102040816327,1.0,64,184.0,184.0,159.0,159.0,209.0,209.0
144,L-alanine,Stationary,Propanoate,,,,,,,,,,,
145,L-alanine,Exponential,Propanoate,,,,,,,,,,,
146,L-alanine,Stationary,Pyruvate (gc-ms),,,,,,,,,,,
147,L-alanine,Exponential,Pyruvate (gc-ms),,,,,,,,,,,
148,Galactose,Stationary,Alanine,358.0,0.0,0.0,1.0,15,358.0,358.0,358.0,358.0,358.0,358.0
149,Galactose,Exponential,Alanine,1197.9,825.7523757037847,421.302232501931,5.0,"18,16,10,13,14",349.1666666666667,2550.0,372.14762429621544,240.52391744077343,2023.6523757037849,2800.0
150,Galactose,Stationary,Alpha-aminoadipate,,,,,,,,,,,
151,Galactose,Exponential,Alpha-aminoadipate,,,,,,,,,,,
152,Galactose,Stationary,Alpha-aminobutyrate,,,,,,,,,,,
153,Galactose,Exponential,Alpha-aminobutyrate,,,,,,,,,,,
154,Galactose,Stationary,Asparagine,103.0,0.0,0.0,1.0,35,103.0,103.0,103.0,103.0,103.0,103.0
155,Galactose,Exponential,Asparagine,447.5333333333333,314.725535684313,160.5742529001597,5.0,"38,37,33,31,34",105.25,970.0,132.8077976490203,81.47672660141086,762.2588690176462,1550.0
156,Galactose,Stationary,Aspartate,337.0,0.0,0.0,1.0,45,337.0,337.0,337.0,337.0,337.0,337.0
157,Galactose,Exponential,Aspartate,4250.639999999999,3617.6811631306687,1845.7556954748309,5.0,"46,42,40,39,43",164.86666666666667,9300.0,632.9588368693308,149.98041254490127,7868.321163130668,16500.0
158,Galactose,Stationary,Beta-alanine,11.5,0.0,0.0,1.0,47,11.5,11.5,11.5,11.5,11.5,11.5
159,Galactose,Exponential,Beta-alanine,11.5,0.0,0.0,1.0,47,11.5,11.5,11.5,11.5,11.5,11.5
160,Galactose,Stationary,Cis-aconitate,21.349999999999998,26.068000000000005,13.300000000000002,3.0,"49,48,50",8.049999999999999,47.95,-4.718000000000007,13.8,47.418000000000006,174.0
161,Galactose,Exponential,Cis-aconitate,21.349999999999998,26.068000000000005,13.300000000000002,3.0,"49,48,50",8.049999999999999,47.95,-4.718000000000007,13.8,47.418000000000006,174.0
162,Galactose,Stationary,Creatine,,,,,,,,,,,
163,Galactose,Exponential,Creatine,,,,,,,,,,,
164,Galactose,Stationary,Deoxycarnitine (deoxy-c0),,,,,,,,,,,
165,Galactose,Exponential,Deoxycarnitine (deoxy-c0),,,,,,,,,,,
166,Galactose,Stationary,Gamma-aminobutyrate,43.6,0.0,0.0,1.0,86,43.6,43.6,43.6,43.6,43.6,43.6
167,Galactose,Exponential,Gamma-aminobutyrate,43.6,0.0,0.0,1.0,86,43.6,43.6,43.6,43.6,43.6,43.6
168,Galactose,Stationary,Glutamate,4270.0,0.0,0.0,1.0,101,4270.0,4270.0,4270.0,4270.0,4270.0,4270.0
169,Galactose,Exponential,Glutamate,58850.666666666664,55639.652895900304,28387.5780081124,5.0,"94,100,98,96,95",1961.6666666666667,149000.0,3211.01377076636,1825.8345971428937,114490.31956256696,168000.0
170,Galactose,Stationary,Glutamine,494.0,0.0,0.0,1.0,108,494.0,494.0,494.0,494.0,494.0,494.0
171,Galactose,Exponential,Glutamine,2556.3666666666663,1763.38407256855,899.6857513104846,5.0,"103,105,107,110,106",383.5,4950.0,792.9825940981164,325.1179856462626,4319.750739235216,5630.0
172,Galactose,Stationary,Glutarylcarnitine (c5-dc),,,,,,,,,,,
173,Galactose,Exponential,Glutarylcarnitine (c5-dc),,,,,,,,,,,
174,Galactose,Stationary,Hexoses,,,,,,,,,,,
175,Galactose,Exponential,Hexoses,,,,,,,,,,,
176,Galactose,Stationary,Isocitrate,14.292777777777777,21.971615244870872,11.210007777995344,3.0,"129,128,130",2.433333333333333,36.7,-7.678837467093095,4.68e-06,36.26439302264865,4.688263787778018
177,Galactose,Exponential,Isocitrate,14.292777777777777,21.971615244870872,11.210007777995344,3.0,"129,128,130",2.433333333333333,36.7,-7.678837467093095,4.68e-06,36.26439302264865,4.688263787778018
178,Galactose,Stationary,Isoleucine,33.1,0.0,0.0,1.0,137,33.1,33.1,33.1,33.1,33.1,33.1
179,Galactose,Exponential,Isoleucine,125.81000000000002,70.35794078522892,35.8969085638923,5.0,"136,135,134,133,131",21.083333333333332,219.0,55.4520592147711,-1.972608799338758,196.16794078522895,548.0
180,Galactose,Stationary,Lactate,,,,,,,,,,,
181,Galactose,Exponential,Lactate,,,,,,,,,,,
182,Galactose,Stationary,Leucine,120.0,0.0,0.0,1.0,148,120.0,120.0,120.0,120.0,120.0,120.0
