,Sample ID,Strain,Hours,OD600,Replicate
1155,1A,aceE,91.74999999994179,1.286,A
1156,1B,aceE,91.74999999994179,0.647,B
1157,1C,aceE,91.74999999994179,1.263,C
1158,2A,cyoD,91.74999999994179,,A
1159,2B,cyoD,91.74999999994179,,B
1160,2C,cyoD,91.74999999994179,,C
1161,3A,lacA,91.74999999994179,,A
1162,3B,lacA,91.74999999994179,,B
1163,3C,lacA,91.74999999994179,,C
1164,4A,nuoA,91.74999999994179,,A
1165,4B,nuoA,91.74999999994179,,B
1166,4C,nuoA,91.74999999994179,,C
1167,5A,pgi,91.74999999994179,,A
1168,5B,pgi,91.74999999994179,,B
1169,5C,pgi,91.74999999994179,,C
1170,6A,rpe,91.74999999994179,,A
1171,6B,rpe,91.74999999994179,,B
1172,6C,rpe,91.74999999994179,,C
1173,7A,sdhB,91.74999999994179,,A
1174,7B,sdhB,91.74999999994179,,B
1175,7C,sdhB,91.74999999994179,,C
1176,8A,sucB,91.74999999994179,,A
1177,8B,sucB,91.74999999994179,,B
1178,8C,sucB,91.74999999994179,,C
1179,9A,tpiA,91.74999999994179,,A
1180,9B,tpiA,91.74999999994179,,B
1181,9C,tpiA,91.74999999994179,,C
1182,10A,zwf,91.74999999994179,,A
1183,10B,zwf,91.74999999994179,,B
1184,10C,zwf,91.74999999994179,,C
1185,11A,WT,91.74999999994179,,A
1186,11B,WT,91.74999999994179,,B
1187,11C,WT,91.74999999994179,,C
1188,1A,aceE,93.83333333325572,1.448,A
1189,1B,aceE,93.83333333325572,0.784,B
1190,1C,aceE,93.83333333325572,1.478,C
1191,2A,cyoD,93.83333333325572,,A
1192,2B,cyoD,93.83333333325572,,B
1193,2C,cyoD,93.83333333325572,,C
1194,3A,lacA,93.83333333325572,,A
1195,3B,lacA,93.83333333325572,,B
1196,3C,lacA,93.83333333325572,,C
1197,4A,nuoA,93.83333333325572,,A
1198,4B,nuoA,93.83333333325572,,B
1199,4C,nuoA,93.83333333325572,,C
1200,5A,pgi,93.83333333325572,,A
1201,5B,pgi,93.83333333325572,,B
1202,5C,pgi,93.83333333325572,,C
1203,6A,rpe,93.83333333325572,,A
1204,6B,rpe,93.83333333325572,,B
1205,6C,rpe,93.83333333325572,,C
1206,7A,sdhB,93.83333333325572,,A
1207,7B,sdhB,93.83333333325572,,B
1208,7C,sdhB,93.83333333325572,,C
1209,8A,sucB,93.83333333325572,,A
1210,8B,sucB,93.83333333325572,,B
1211,8C,sucB,93.83333333325572,,C
1212,9A,tpiA,93.83333333325572,,A
1213,9B,tpiA,93.83333333325572,,B
1214,9C,tpiA,93.83333333325572,,C
1215,10A,zwf,93.83333333325572,,A
1216,10B,zwf,93.83333333325572,,B
1217,10C,zwf,93.83333333325572,,C
1218,11A,WT,93.83333333325572,,A
1219,11B,WT,93.83333333325572,,B
1220,11C,WT,93.83333333325572,,C
1221,1A,aceE,94.74999999994179,1.483,A
1222,1B,aceE,94.74999999994179,0.849,B
1223,1C,aceE,94.74999999994179,1.516,C
1224,2A,cyoD,94.74999999994179,,A
1225,2B,cyoD,94.74999999994179,,B
1226,2C,cyoD,94.74999999994179,,C
1227,3A,lacA,94.74999999994179,,A
1228,3B,lacA,94.74999999994179,,B
