,Sample_ID,USER CODE,Carbon source,Timepoint-tag,Metabolite,Concentration,Hours,Timepoint,M
166,SM_MPTA_112023_89_L-alanine-T18_M10_32,#89: L-alanine-T18 M10,L-alanine,T3,METHIONINE,0.0390098193288042,18,3,M10
167,SM_MPTA_112023_90_L-alanine-T18_M11_33,#90: L-alanine-T18 M11,L-alanine,T3,METHIONINE,0.067116091399348,18,3,M11
168,SM_MPTA_112023_106_L-alanine-T22_M9_34,#106: L-alanine-T22 M9,L-alanine,T4,METHIONINE,6.2167752665773595,22,4,M9
169,SM_MPTA_112023_107_L-alanine-T22_M10_35,#107: L-alanine-T22 M10,L-alanine,T4,METHIONINE,5.22652879573762,22,4,M10
170,SM_MPTA_112023_108_L-alanine-T22_M11_36,#108: L-alanine-T22 M11,L-alanine,T4,METHIONINE,9.18310825060298,22,4,M11
171,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,METHIONINE,0.00614583399579002,0,0,Alanine_001
172,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,METHIONINE,0.0075699058617164,0,0,Alanine_002
173,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,METHIONINE,0.016415406251066262,0,0,Alanine_003
174,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,METHIONINE,0.00432137870378548,0,0,Galactose_001
175,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,METHIONINE,,0,0,Galactose_002
176,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,METHIONINE,,0,0,Galactose_003
177,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,METHIONINE,,0,0,malate_001
178,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,METHIONINE,,0,0,malate_002
179,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,METHIONINE,,0,0,malate_003
180,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,GAMMA-AMINOBUTYRATE,0.61044292941447,6,1,M1
181,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,GAMMA-AMINOBUTYRATE,0.277435417484396,6,1,M2
182,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,GAMMA-AMINOBUTYRATE,,8,1,M3
183,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,GAMMA-AMINOBUTYRATE,,12,2,M1
184,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,GAMMA-AMINOBUTYRATE,,12,2,M2
