,Sample_ID,Carbon source,Metabolite,Concentration [uM],Hours,Timepoint,Bioreactor
158,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,METHIONINE,,12.0,4,M7
159,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,METHIONINE,0.027343735882303998,10.0,1,M9
160,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,METHIONINE,0.023299665459396803,10.0,1,M10
161,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,METHIONINE,0.01690498217754148,10.0,1,M11
162,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,METHIONINE,,16.0,2,M9
163,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,METHIONINE,0.00502444476162036,16.0,2,M10
164,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,METHIONINE,0.01129628590265634,16.0,2,M11
165,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,METHIONINE,0.0375611650011018,18.0,3,M9
166,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,METHIONINE,0.0390098193288042,18.0,3,M10
167,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,METHIONINE,0.067116091399348,18.0,3,M11
168,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,METHIONINE,6.2167752665773595,22.0,4,M9
169,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,METHIONINE,5.22652879573762,22.0,4,M10
170,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,METHIONINE,9.18310825060298,22.0,4,M11
171,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,L-alanine,METHIONINE,0.00614583399579002,0.0,0,Alanine_001
172,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,L-alanine,METHIONINE,0.0075699058617164,0.0,0,Alanine_002
173,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,L-alanine,METHIONINE,0.016415406251066262,0.0,0,Alanine_003
174,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40,Galactose,METHIONINE,0.00432137870378548,0.0,0,Galactose_001
175,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41,Galactose,METHIONINE,,0.0,0,Galactose_002
176,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42,Galactose,METHIONINE,,0.0,0,Galactose_003
177,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,L-malate,METHIONINE,,0.0,0,malate_001
178,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,L-malate,METHIONINE,,0.0,0,malate_002
179,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,L-malate,METHIONINE,,0.0,0,malate_003
180,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,GAMMA-AMINOBUTYRATE,0.61044292941447,6.0,1,M1
181,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,GAMMA-AMINOBUTYRATE,0.277435417484396,6.0,1,M2
182,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,GAMMA-AMINOBUTYRATE,,8.0,1,M3
183,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,GAMMA-AMINOBUTYRATE,,12.0,2,M1
184,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,GAMMA-AMINOBUTYRATE,,12.0,2,M2
185,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,GAMMA-AMINOBUTYRATE,,14.0,2,M3
186,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,GAMMA-AMINOBUTYRATE,,14.0,3,M1
187,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,GAMMA-AMINOBUTYRATE,0.204824536623812,14.0,3,M2
188,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,GAMMA-AMINOBUTYRATE,0.427888889111224,16.0,3,M3
189,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,GAMMA-AMINOBUTYRATE,,18.0,4,M1
190,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,GAMMA-AMINOBUTYRATE,,18.0,4,M2
191,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,GAMMA-AMINOBUTYRATE,0.379876000765466,20.0,4,M3
192,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,GAMMA-AMINOBUTYRATE,0.87261979525305,6.0,1,M5
193,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,GAMMA-AMINOBUTYRATE,0.43463275900453,6.0,1,M6
194,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,GAMMA-AMINOBUTYRATE,0.639285733968654,6.0,1,M7
195,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,GAMMA-AMINOBUTYRATE,1.7403670650592382,9.25,2,M5
196,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,GAMMA-AMINOBUTYRATE,0.434310135941326,10.0,2,M6
197,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,GAMMA-AMINOBUTYRATE,1.6952151638117818,9.25,2,M7
