,KEGG ID
1360,C15809
1361,C15810
1362,C15811
1363,C15812
1364,C15813
1365,C15814
1366,C15930
1367,C15972
1368,C15973
1369,C15980
1370,C15996
1371,C15998
1372,C16153
1373,C16154
1374,C16155
1375,C16156
1376,C16157
1377,C16186
1378,C16216
1379,C16218
1380,C16219
1381,C16220
1382,C16221
1383,C16236
1384,C16237
1385,C16238
1386,C16239
1387,C16240
1388,C16241
1389,C16254
1390,C16255
1391,C16272
1392,C16273
1393,C16330
1394,C16331
1395,C16334
1396,C16335
1397,C16338
1398,C16339
1399,C16348
1400,C16391
1401,C16392
1402,C16393
1403,C16396
1404,C16399
1405,C16433
1406,C16435
1407,C16436
1408,C16438
1409,C16439
1410,C16440
1411,C16463
1412,C16466
1413,C16468
1414,C16469
1415,C16470
1416,C16471
1417,C16476
1418,C16477
1419,C16487
1420,C16488
1421,C16489
1422,C16519
1423,C16520
1424,C16551
1425,C16565
1426,C16586
1427,C16587
1428,C16595
1429,C16596
1430,C16614
1431,C16615
1432,C16617
1433,C16618
1434,C16619
1435,C16630
1436,C16631
1437,C16633
1438,C16634
1439,C16635
1440,C16636
1441,C16637
1442,C16639
1443,C16675
1444,C16688
1445,C16698
1446,C16699
1447,C16739
1448,C16831
1449,C16832
1450,C17023
1451,C17210
1452,C17211
1453,C17212
1454,C17213
1455,C17214
1456,C17215
1457,C17216
1458,C17217
1459,C17218
1460,C17219
1461,C17222
1462,C17223
1463,C17226
1464,C17227
1465,C17230
1466,C17231
1467,C17322
1468,C17323
1469,C17324
1470,C17551
1471,C17552
1472,C17556
1473,C17569
1474,C17758
1475,C18060
1476,C18076
1477,C18094
1478,C18096
1479,C18237
1480,C18239
1481,C18242
1482,C18243
1483,C18304
1484,C18305
1485,C18309
1486,C18310
1487,C18796
1488,C18870
1489,C18902
1490,C19078
1491,C19080
1492,C19085
1493,C19586
1494,C19609
1495,C19610
1496,C19647
1497,C19673
1498,C19722
1499,C19723
1500,C19769
1501,C19770
1502,C19771
1503,C19792
1504,C19845
1505,C19846
1506,C19847
1507,C19848
1508,C19858
1509,C19859
1510,C19871
1511,C19875
1512,C19878
1513,C19879
1514,C19880
1515,C19882
1516,C19883
1517,C19884
1518,C19890
1519,C19891
1520,C19909
1521,C19910
1522,C19928
1523,C19945
1524,C19946
1525,C19975
1526,C20062
1527,C20231
1528,C20239
1529,C20246
1530,C20247
1531,C20248
1532,C20249
1533,C20253
1534,C20254
1535,C20258
1536,C20345
1537,C20364
1538,C20372
1539,C20373
1540,C20374
1541,C20375
1542,C20376
1543,C20377
1544,C20378
1545,C20386
1546,C20390
1547,C20396
1548,C20415
1549,C20422
1550,C20423
1551,C20440
1552,C20446
1553,C20451
1554,C20463
1555,C20497
1556,C20498
1557,C20641
1558,C20646
1559,C20648
1560,C20658
1561,C20679
1562,C20683
1563,C20743
1564,C20748
1565,C20749
1566,C20750
1567,C20753
1568,C20755
1569,C20756
1570,C20758
1571,C20796
1572,C20830
1573,C20831
1574,C20835
1575,C20836
1576,C20858
1577,C20863
1578,C20864
1579,C20895
1580,C20904
1581,C20905
1582,C20933
1583,C20957
1584,C20958
1585,C20959
1586,C20960
1587,C20969
1588,C21007
1589,C21008
1590,C21015
1591,C21016
1592,C21028
1593,C21029
1594,C21057
1595,C21065
1596,C21094
1597,C21113
1598,C21152
1599,C21153
1600,C21157
1601,C21158
1602,C21173
1603,C21174
1604,C21181
1605,C21193
1606,C21194
1607,C21214
1608,C21215
1609,C21284
1610,C21310
1611,C21333
1612,C21334
1613,C21382
1614,C21386
1615,C21387
1616,C21388
1617,C21403
1618,C21440
1619,C21461
1620,C21462
1621,C21463
1622,C21484
1623,C21485
1624,C21610
1625,C21611
1626,C21612
1627,C21616
1628,C21617
1629,C21618
1630,C21652
1631,C21748
1632,C21749
1633,C21750
1634,C21751
1635,C21754
1636,C21758
1637,C21860
1638,C21873
1639,C21982
1640,C21983
1641,C21984
1642,C21991
1643,C21993
1644,C21994
1645,C21995
1646,C21999
1647,C22002
1648,C22068
1649,C22077
1650,C22078
1651,C22131
1652,C22150
1653,C22151
1654,C22154
1655,C22155
1656,C22157
1657,C22158
1658,C22159
1659,C22160
1660,C22161
1661,C22337
1662,C22382
1663,C22383
1664,C22395
1665,C22438
1666,C22441
1667,C22442
1668,C22443
1669,C22453
1670,C22458
1671,C22501
1672,C22502
1673,C22507
1674,C22611
