KEGG,Metabolite name,PubChem,ChEBI,METLIN,SMILES,Exact match
C21995,1-PEtN-KDO2-lipid A,384585056,None,None,None,True
C21999,Stearoyl-KDO2-lipid IVA,384585060,None,None,None,True
C22002,Lipid IIB,384585063,None,None,None,True
C22068,H. pylori KDO2-lipid IVA,384585128,None,None,None,True
C22077,None,None,None,None,None,False
C22078,None,None,None,None,None,False
C22131,None,None,None,None,None,False
C22150,None,None,None,None,None,False
C22151,None,None,None,None,None,False
C22154,None,None,None,None,None,False
C22155,None,None,None,None,None,False
C22157,None,None,None,None,None,False
C22158,None,None,None,None,None,False
C22159,[Glycine cleavage system H]-N6-octanoyl-L-lysine,None,None,None,None,True
C22160,[Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine,None,None,None,None,True
C22161,Dihydrolipoyl-AMP,None,None,None,None,True
C22337,D-Ribulose 1-phosphate,None,None,None,None,True
C22382,None,None,None,None,None,False
C22383,None,None,None,None,None,False
C22395,N6-Succino-2-amino-2'-deoxyadenylate,None,None,None,None,True
C22438,"3,5-Dehydroshikimate",None,None,None,None,True
C22441,dZMP,None,None,None,None,True
C22442,dZDP,None,None,None,None,True
C22443,dZTP,None,None,None,None,True
C22453,trans-Anhydromevalonate phosphate,None,None,None,None,True
C22458,8-Amino-7-(carboxyamino)nonanoate,None,None,None,None,True
C22501,None,None,None,None,None,False
C22502,None,None,None,None,None,False
C22507,None,None,None,None,None,False
C22611,N-Acetyl-D-glutamate,None,None,None,None,True
