Name,ionMz
"cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol",183.0661
2-Carboxymuconate,185.0057
8-Amino-7-oxononanoate,186.1136
(E)-3-(Methoxycarbonyl)pent-2-enedioate,187.0234
Cis-2-Methylaconitate,187.0234
E-3-Carboxy-2-pentenedioate 6-methyl ester,187.0234
Azelaic acid,187.0976
"1-Nitronaphthalene-5,6-oxide",188.035
"1-Nitronaphthalene-7,8-oxide",188.035
7-Carboxy-7-carbaguanine,193.0349
"2-Phenyl-1,3-propanediol monocarbamate",194.0822
"1,7-Dimethyluric acid",195.0509
Dihydroxy-Phe,196.0603
P-homoserine,198.0182
Threonine O-3-phosphate,198.0182
Benzoyl phosphate,200.9937
Galactaric acid,209.0292
D-Glucarate,209.0292
2-Hydroxy-6-ketononatrienedioate,211.0235
2-Hydroxy-6-ketononadienedicarboxylate,213.0384
Dethiobiotin,213.1252
2-Succinylbenzoate,221.0443
Porphobilinogen,225.0861;225.0901
"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde",228.0501
2-Deoxy-glucose 6-phosphate,243.029
L-Fuculose 1-phosphate,243.029
Rhamnulose 1-phosphate,243.029
Glycerophosphoglycerol,245.0444
Pyridoxal phosphate,246.0198
N-Succinyl-L-glutamate,246.064
S-Acetyldihydrolipoamide,248.08
Deoxyinosine,251.0816
Purine nucleoside,251.0816
(9Z)-Hexadecenoic acid,253.2173
Inosine,267.0724
N-Acetyl-5-glutamyl phosphate,268.02
N-Acetyl-L-glutamate 5-phosphate,268.02
alpha-Ribazole,277.1207
Pantetheine,277.1207
"(6Z,9Z,12Z)-Octadecatrienoic acid",277.2169
Retinal,283.2063
Salicin,285.0972
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,287.0157
Aminoimidazole ribotide,294.0479
Glucosamine-1P,300.0509
N-Acetyl-Glucosamine 6-Phosphate,300.0509
N-Acetyl-galactosamine 1-phosphate,300.0509
N-Acetyl-galactosamine 6-phosphate,300.0509
Acetylglucosamine P,300.0509
N-Acetyl-mannosamine 6-phosphate,300.0509
Quercetin,301.0333
Dihydropteroate,313.1037
3-Deoxy-D-manno-octulosonate 8-phosphate,317.026
"6,7-Dimethyl-8-(D-ribityl)luma...",325.1163
sn-Glycero-3-phospho-1-inositol,333.0589
5(S)-Hydroperoxyeicosatetraenoic acid,335.2224
5-Amino-6-(5'-phosphoribosylamino)uracil,353.0489
Reduced riboflavin,377.1496
Chenodeoxycholate,391.2848
(R)-4'-Phosphopantothenoyl-L-cysteine,401.0756
"3-Alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholanate",407.2795
Cholate,407.2795
