sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	[H][C@](N)(CCC(O)=N[C@@]([H])(CSC([H])(O)C(Cl)Cl)C(O)=NCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Alkyl chlorides;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Chlorohydrins;Dicarboxylic acids and derivatives;Halogenated fatty acids;Hydrocarbon derivatives;Hydroxy fatty acids;Monoalkylamines;Organic oxides;Organochlorides;Organonitrogen compounds;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds;Short-chain hydroxy acids and derivatives;Sulfenyl compounds	Fatty acyl;Aliphatic acyclic compound;Carboximidic acid;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Chlorohydrin;Alkyl chloride;Organochloride;Fatty acid;Organosulfur compound;Organohalogen compound;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Alkyl halide;Hydroxy fatty acid;Halogenated fatty acid;Sulfenyl compound;Halohydrin;Organic 1,3-dipolar compound;Organic oxygen compound;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	[H][C@](N)(CCC(O)=N[C@@]([H])(CSCC=O)C(O)=NCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Aldehydes;Carboximidic acids;Carboxylic acids;Dialkylthioethers;Dicarboxylic acids and derivatives;Fatty acids and conjugates;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds;Short-chain hydroxy acids and derivatives;Sulfenyl compounds	Aliphatic acyclic compound;Carboximidic acid;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Fatty acid;Organosulfur compound;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Sulfenyl compound;Dialkylthioether;Aldehyde;Organic 1,3-dipolar compound;Organic oxygen compound;Thioether;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	[H][C@](N)(CCSC[C@@]1([H])OC([H])(O)[C@]([H])(O)[C@]1([H])O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic heteromonocyclic compounds	1,2-diols;Carbonyl compounds;Carboxylic acids;Dialkylthioethers;Hemiacetals;Heterocyclic fatty acids;Hydrocarbon derivatives;Hydroxy fatty acids;Monoalkylamines;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Secondary alcohols;Short-chain hydroxy acids and derivatives;Sulfenyl compounds;Tetrahydrofurans;Thia fatty acids	Fatty acyl;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Heterocyclic fatty acid;Monosaccharide;Fatty acid;Organosulfur compound;Saccharide;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hemiacetal;Hydroxy fatty acid;Organoheterocyclic compound;1,2-diol;Alcohol;Sulfenyl compound;Tetrahydrofuran;Dialkylthioether;Oxacycle;Monocarboxylic acid or derivatives;Thia fatty acid;Organic oxygen compound;Thioether;Secondary alcohol;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	[H][C@]1(COP(O)(O)=O)O[C@@]([H])(OC2=CC=CC=C2CO)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexose phosphates	Aromatic heteromonocyclic compounds	Acetals;Aromatic alcohols;Benzyl alcohols;Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;Organic oxides;Oxacyclic compounds;Oxanes;Phenol ethers;Phenoxy compounds;Secondary alcohols	Aromatic alcohol;Phenol ether;Monocyclic benzene moiety;Aromatic heteromonocyclic compound;Organic oxide;Acetal;Oxane;Organoheterocyclic compound;Alcohol;Benzyl alcohol;Oxacycle;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hexose Phosphate;Hydrocarbon derivative;Benzenoid;Phenoxy compound;Organic phosphoric acid derivative;Alkyl phosphate
	OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Glycerone phosphates	Aliphatic acyclic compounds	Acyloins;Alpha-hydroxy ketones;Beta-hydroxy ketones;Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;Organic oxides;Secondary alcohols	Alcohol;Beta-hydroxy ketone;Aliphatic acyclic compound;Monosaccharide;Alpha-hydroxy ketone;Glycerone phosphate;Saccharide;Organic oxide;Phosphoric acid ester;Monoalkyl phosphate;Acyloin;Secondary alcohol;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate
	[H][C@@]1(O)CC(=C[C@@]([H])(OP([O-])([O-])=O)[C@@]1([H])O)C([O-])=O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Alkyl phosphates	Aliphatic homomonocyclic compounds	1,2-diols;Carbonyl compounds;Carboxylic acids;Cyclitols and derivatives;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic anions;Organic oxides;Secondary alcohols	Alcohol;Carbonyl group;Carboxylic acid;Cyclitol or derivatives;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic anion;Organic oxygen compound;Secondary alcohol;Aliphatic homomonocyclic compound;Hydrocarbon derivative;Alkyl phosphate;Organooxygen compound;1,2-diol
	C[C@]1(CC(O)=O)[C@H](CCC(O)=O)\C2=C\C3=C(CC(O)=O)C(CCC(O)=O)=C4\C=C5/N=C(/C=C6\N([Fe]N34)\C(=C/C1=N2)[C@@H](CCC(O)=O)[C@]6(C)CC(O)=O)C(CC(O)=O)=C5CCC(O)=O	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles	Metallotetrapyrroles	Aromatic heteropolycyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Organic oxides;Organic transition metal salts;Organonitrogen compounds;Organopnictogen compounds;Pyrroles	Carbonyl group;Carboxylic acid;Azacycle;Heteroaromatic compound;Carboxylic acid derivative;Organic transition metal salt;Organic oxide;Organic oxygen compound;Aromatic heteropolycyclic compound;Pyrrole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organic salt;Metallotetrapyrrole skeleton;Organooxygen compound;Organic metal salt
	C[C@]1(CC(O)=O)[C@H](CCC(O)=O)\C2=C\C3=N\C(=C/C4=C(CCC(O)=O)C(CC(O)=O)=C(N4)\C=C4/N=C(/C=C1\N2)[C@@H](CCC(O)=O)[C@]4(C)CC(O)=O)\C(CCC(O)=O)=C3CC(O)=O	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles	Metallotetrapyrroles	Aromatic heteropolycyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Pyrroles	Carbonyl group;Carboxylic acid;Azacycle;Heteroaromatic compound;Carboxylic acid derivative;Organic oxide;Organic oxygen compound;Aromatic heteropolycyclic compound;Pyrrole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Metallotetrapyrrole skeleton;Organooxygen compound
	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexose phosphates	Aliphatic heteromonocyclic compounds	Hydrocarbon derivatives;Ketals;Monoalkyl phosphates;Monosaccharides;Organic oxides;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols;Tetrahydrofurans	Alcohol;Tetrahydrofuran;Oxacycle;Organic oxide;Acetal;Phosphoric acid ester;Monoalkyl phosphate;Ketal;Aliphatic heteromonocyclic compound;Secondary alcohol;Hexose Phosphate;Hydrocarbon derivative;Oxane;Primary alcohol;Organic phosphoric acid derivative;Alkyl phosphate;Organoheterocyclic compound
	OC(=O)C=CC1=C(O)C(O)=CC=C1	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acids	Aromatic homomonocyclic compounds	1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;Benzene and substituted derivatives;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Monocyclic benzene moiety;Carbonyl group;Carboxylic acid;1-hydroxy-2-unsubstituted benzenoid;1-hydroxy-4-unsubstituted benzenoid;Carboxylic acid derivative;Hydroxycinnamic acid;Aromatic homomonocyclic compound;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Phenol;Hydrocarbon derivative;Benzenoid;Organooxygen compound
	OC(=O)C=C1OC(=O)C=C1	Organic compounds	Organoheterocyclic compounds	Dihydrofurans	Furanones	Butenolides	Aliphatic heteromonocyclic compounds	Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Dihydrofurans;Enoate esters;Enol esters;Hydrocarbon derivatives;Lactones;Organic oxides;Oxacyclic compounds	Enoate ester;Carbonyl group;Carboxylic acid;Carboxylic acid derivative;Lactone;Oxacycle;Alpha,beta-unsaturated carboxylic ester;2-furanone;Organic oxide;Organic oxygen compound;Carboxylic acid ester;Aliphatic heteromonocyclic compound;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Enol ester;Organooxygen compound
	[H][C@@](O)(CCCCCCCCCCC)CC(=O)O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=CC(O)=NC3=O)[C@]([H])(O)[C@]2([H])O)[C@]1([H])N=C(O)C[C@]([H])(O)CCCCCCCCCCC	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Beta hydroxy acids and derivatives;Carbonyl compounds;Carboximidic acids;Carboxylic acid esters;Fatty acid esters;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Monoalkyl phosphates;Monocarboxylic acids and derivatives;N-acyl-alpha-hexosamines;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Pyrimidine ribonucleoside diphosphates;Pyrimidones;Saccharolipids;Secondary alcohols;Tetrahydrofurans	Fatty acyl;Carboximidic acid;Carbonyl group;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Hydroxypyrimidine;Carboxylic acid derivative;Pyrimidine;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Beta-hydroxy acid;Organic oxide;Organonitrogen compound;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic 1,3-dipolar compound;Hydroxy acid;Organic pyrophosphate;Oxacycle;Fatty acid ester;Monocarboxylic acid or derivatives;Pyrimidine ribonucleoside diphosphate;Phosphoric acid ester;Monoalkyl phosphate;Carboxylic acid ester;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Saccharolipid;Organic phosphoric acid derivative;Alkyl phosphate
	CC(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@H](CO)OC1OP(O)(=O)OP(O)(=O)OC[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)N1C=CC(=O)NC1=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aromatic heteromonocyclic compounds	Acetamides;Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monoalkyl phosphates;N-acyl-alpha-hexosamines;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Pyrimidine ribonucleoside diphosphates;Pyrimidones;Secondary alcohols;Secondary carboxylic acid amides;Tetrahydrofurans;Vinylogous amides	Carbonyl group;Lactam;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Carboxylic acid derivative;Pyrimidine;N-acyl-alpha-hexosamine;Organic oxide;Organonitrogen compound;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Acetamide;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Carboxamide group;Organic pyrophosphate;Oxacycle;Secondary carboxylic acid amide;Pyrimidine ribonucleoside diphosphate;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate
	[H]C(N)(CCCC([H])(N=C(O)CC[C@@]([H])(N=C(O)[C@]([H])(C)N=C(O)C([H])(C)O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=CC(O)=NC3=O)[C@]([H])(O)[C@]2([H])O)[C@]1([H])N=C(C)O)C(O)=O)C(O)=O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aromatic heteromonocyclic compounds	Alpha amino acids;Azacyclic compounds;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Monoalkyl phosphates;Monoalkylamines;N-acyl-alpha-hexosamines;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Pyrimidine ribonucleoside diphosphates;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Tricarboxylic acids and derivatives	Carboximidic acid;Carbonyl group;Ether;Carboxylic acid;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Hydroxypyrimidine;Tricarboxylic acid or derivatives;Alpha-amino acid or derivatives;Carboxylic acid derivative;Dialkyl ether;Pyrimidine;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic 1,3-dipolar compound;Organic pyrophosphate;Oxacycle;Pyrimidine ribonucleoside diphosphate;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate
	[H]C(N)(CCC[C@]([H])(N=C(O)CC[C@@]([H])(N=C(O)[C@]([H])(C)N=C(O)C([H])(C)O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=CC(O)=NC3=O)[C@]([H])(O)[C@]2([H])O)[C@]1([H])N=C(C)O)C(O)=O)C(O)=N[C@]([H])(C)C(O)=NC([H])(C)C(O)=O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aromatic heteromonocyclic compounds	Alanine and derivatives;Alpha amino acids;Azacyclic compounds;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Monoalkyl phosphates;Monoalkylamines;N-acyl-alpha-hexosamines;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Pyrimidine ribonucleoside diphosphates;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Tricarboxylic acids and derivatives	Carboximidic acid;Carbonyl group;Ether;Carboxylic acid;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Hydroxypyrimidine;Tricarboxylic acid or derivatives;Alpha-amino acid or derivatives;Carboxylic acid derivative;Dialkyl ether;Pyrimidine;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic 1,3-dipolar compound;Organic pyrophosphate;Oxacycle;Pyrimidine ribonucleoside diphosphate;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Alanine or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate
	[H]C(C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)OC([H])(OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=CC(O)=NC3=O)[C@]([H])(O)[C@]2([H])O)[C@]1([H])N=C(C)O)C(O)=N[C@@]([H])(C)C(O)=NC([H])(CCC(O)=N[C@@]([H])(CCCCN)C(O)=N[C@]([H])(C)C(O)=N[C@]([H])(C)C(O)=O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aromatic heteromonocyclic compounds	Alanine and derivatives;Alpha amino acids;Azacyclic compounds;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Dicarboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Monoalkyl phosphates;Monoalkylamines;N-acyl-alpha-hexosamines;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Pyrimidine ribonucleoside diphosphates;Pyrimidones;Secondary alcohols;Tetrahydrofurans	Carboximidic acid;Carbonyl group;Ether;Carboxylic acid;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Hydroxypyrimidine;Alpha-amino acid or derivatives;Carboxylic acid derivative;Dialkyl ether;Pyrimidine;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic 1,3-dipolar compound;Organic pyrophosphate;Oxacycle;Pyrimidine ribonucleoside diphosphate;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Dicarboxylic acid or derivatives;Alanine or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate
	[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=CC(O)=NC3=O)[C@]([H])(O)[C@]2([H])O)[C@]1([H])N=C(C)O)C(O)=N[C@@]([H])(C)C(O)=N[C@]([H])(CCC(O)=N[C@@]([H])(CCCCN)C(O)=O)C(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aromatic heteromonocyclic compounds	Alpha amino acids;Azacyclic compounds;Carbonyl compounds;Carboximidic acids;Carboxylic acids;Dialkyl ethers;Dicarboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxy fatty acids;Hydroxypyrimidines;Medium-chain fatty acids;Medium-chain hydroxy acids and derivatives;Monoalkyl phosphates;Monoalkylamines;N-acyl-alpha-hexosamines;Organic carbonic acids and derivatives;Organic oxides;Organic pyrophosphates;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Pentose phosphates;Primary alcohols;Propargyl-type 1,3-dipolar organic compounds;Pyrimidine ribonucleoside diphosphates;Pyrimidones;Saccharolipids;Secondary alcohols;Tetrahydrofurans	Carboximidic acid;Carboxylic acid;Monosaccharide;Pentose-5-phosphate;Hydroxypyrimidine;Alpha-amino acid or derivatives;Medium-chain hydroxy acid;Dialkyl ether;Organonitrogen compound;Alpha-amino acid;Hydroxy fatty acid;Oxane;Organoheterocyclic compound;Alcohol;Azacycle;Heteroaromatic compound;Organic 1,3-dipolar compound;Organic pyrophosphate;Pyrimidine ribonucleoside diphosphate;Monoalkyl phosphate;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Fatty acyl;Carbonyl group;Ether;Aromatic heteromonocyclic compound;Pentose phosphate;Fatty acid;Pyrimidone;Carboxylic acid derivative;Pyrimidine;N-acyl-alpha-hexosamine;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organopnictogen compound;Medium-chain fatty acid;Primary alcohol;Carbonic acid derivative;Tetrahydrofuran;Oxacycle;Phosphoric acid ester;Secondary alcohol;Organic nitrogen compound;Saccharolipid;Organic phosphoric acid derivative;Alkyl phosphate
