kegg_id,metabolite_ids,Metabolite value
C00168,M_hpyr_c,0.027730524756275354
C00530,M_hqn_c,
C05271,M_hx2coa_c,0.8080114712332165
C01585,M_hxa_c,0.17233240077718648
C00262,M_hxan_c,0.124827863863608
C05840,M_iasp_c,0.028422723654586424
C00885,M_ichor_c,0.10397139072574335
C00311,M_icit_c,0.04188754091882796
C00770,M_idon__L_c,0.04084410715248232
C00104,M_idp_c,0.2095918932477625
C00407,M_ile__L_c,0.10730516064038076
C03127,M_iletrna_c,
C01267,M_imacp_c,0.13564408074380196
C00130,M_imp_c,0.16893635682971864
C00463,M_indole_c,0.1808050842835529
C00137,M_inost_c,
C19891,M_inost_c,
C00294,M_ins_c,0.16781911545868944
C00129,M_ipdp_c,0.10196459422504578
C05123,M_isetac_c,
C00081,M_itp_c,0.21002457794863094
C00238,M_k_c,5.123134538636109
C12568,M_k_c,5.123134538636109
C06025,M_kdo2lipid4_c,1.6701866403993626
C06251,M_kdo2lipid4L_c,1.9176147828693146
C04478,M_kdo8p_c,0.0681789005332667
C06024,M_kdolipid4_c,1.5623245921829398
C00256,M_lac__D_c,0.021486663911129966
C00186,M_lac__L_c,0.03222528061815888
C00937,M_lald__D_c,0.031809152577855215
C00424,M_lald__L_c,0.0338516312008208
C05999,M_lald__L_c,0.0338516312008208
C00243,M_lcts_c,
C01970,M_lcts_c,
C00123,M_leu__L_c,0.17046297076951378
C16439,M_leu__L_c,0.17046297076951378
C02047,M_leutrna_c,
C03451,M_lgt__S_c,0.31119858467314465
C06026,M_lipa_c,2.21125093153689
C04919,M_lipidA_c,1.4544625439666392
C04932,M_lipidAds_c,1.4336964640512373
C04824,M_lipidX_c,0.7200416696195644
C16238,M_lipoamp_c,
C00725,M_lipoate_c,
C16241,M_lipoate_c,
C00047,M_lys__L_c,0.08513651714733284
C16440,M_lys__L_c,0.08513651714733284
C01931,M_lystrna_c,
C01508,M_lyx__L_c,
C00497,M_mal__D_c,
C00149,M_mal__L_c,0.02775169390604182
C01209,M_malACP_c,
C00083,M_malcoa_c,0.6773231207684027
C00208,M_malt_c,
C00897,M_malt_c,
C02995,M_malt6p_c,
C01936,M_malthx_c,
C01835,M_malttr_c,
C02013,M_maltttr_c,
C02052,M_maltttr_c,
C00159,M_man_c,0.05075120279340872
C00636,M_man1p_c,0.05382794706744187
C00275,M_man6p_c,0.05185358851410582
C16699,M_man6pglyc_c,
C00514,M_mana_c,
C05402,M_melib_c,
C00132,M_meoh_c,
C00957,M_mercppyr_c,
C00855,M_met__D_c,
C00073,M_met__L_c,0.23927520487715404
C01733,M_met__L_c,0.23927520487715404
C00445,M_methf_c,0.5247620516180107
C02989,M_metsox_R__L_c;M_metsox_S__L_c,0.24232472676835037
C15998,M_metsox_R__L_c;M_metsox_S__L_c,0.24232472676835037
C15999,M_metsox_R__L_c;M_metsox_S__L_c,0.24232472676835037
C02430,M_mettrna_c,
C00305,M_mg2_c,
C07755,M_mg2_c,
C07876,M_mg2_c,
C12567,M_mg2_c,
C01177,M_mi1p__D_c,
C04593,M_micit_c,0.047776947342792475
C00143,M_mlthf_c,0.5309882708391278
C00683,M_mmcoa__S_c,0.6748059128110939
C03172,M_mmet_c,
C19610,M_mn2_c,0.0003091633147711548
C00644,M_mnl1p_c,0.055545540186607845
C06232,M_mobd_c,0.005879743653958158
C15455,M_mobd_c,0.005879743653958158
C19928,M_mocogdp_c,28.522147823365824
C05924,M_mpt_c,0.5962697427851937
C19848,M_mptamp_c,28.523374693287245
C00222,M_msa_c,0.05863812545671143
C12069,M_msa_c,0.05863812545671143
C11145,M_mso3_c,
C00546,M_mthgxl_c,0.02870166622511716
C21382,M_mththf_c,0.1813450358257418
C00887,M_n2o_c,
C01029,M_n8aspmd_c,
C01330,M_na1_c,
C14042,M_na1_c,
C16565,M_na15dap_c,
C00253,M_nac_c,0.11021876418602083
C00003,M_nad_c,0.34881483659334744
C00004,M_nadh_c,0.35282635430460285
C00006,M_nadp_c,0.3573202569517875
C00005,M_nadph_c,0.3633744302227848
C00153,M_ncam_c,0.10802668978040497
C00014,M_nh4_c,0.09258552866008296
C01342,M_nh4_c,0.09258552866008296
C14711,M_ni2_c,0.00039632138196799005
C19609,M_ni2_c,0.00039632138196799005
C01185,M_nicrnt_c,0.10591737935350398
C00455,M_nmn_c,0.15083578598265035
C00533,M_no_c,
C00088,M_no2_c,
C00244,M_no3_c,
C00007,M_o2_c,0.005686326987153212
C00704,M_o2s_c,0.002514701974032363
C00036,M_oaa_c,0.024702172015511614
C03981,M_oaa_c,0.024702172015511614
C05276,M_oc2coa_c,0.830636324392664
C01944,M_occoa_c,0.8381065337729199
C01530,M_ocdca_c,0.3236084221585389
C00712,M_ocdcea_c,0.3174661612409757
C06423,M_octa_c,0.15597285051917043
C04146,M_octdp_c,0.862820227797878
C16218,M_od2coa_c,0.9567023259146601
C06054,M_ohpb_c,0.06440592769515474
C00596,M_op4en_c,
C00077,M_orn_c,0.09906236176540073
C01602,M_orn_c,0.09906236176540073
C00295,M_orot_c,0.034515893021780375
C01103,M_orot5p_c,0.09557599400940031
C00209,M_oxa_c,
C02232,M_oxadpcoa_c,
C00313,M_oxalcoa_c,
C01444,M_oxam_c,0.11979985587980968
C00802,M_oxur_c,0.12589756644150185
C00548,M_pac_c,
C07086,M_pac_c,
C15583,M_pac_c,
C00601,M_pacald_c,
C01134,M_pan4p_c,0.4260912410479101
C00522,M_pant__R_c,0.13467091117354002
C00054,M_pap_c,0.19757203091215203
C00053,M_paps_c,0.23144318919389173
C00627,M_pdx5p_c,0.1497065052808444
C00074,M_pep_c,0.023889540928612174
C00582,M_phaccoa_c,
C00079,M_phe__L_c,0.10246580002050143
C02057,M_phe__L_c,0.10246580002050143
C00032,M_pheme_c,2.0270076336152187
C03511,M_phetrna_c,
C01102,M_phom_c,0.057354673376941445
C00166,M_phpyr_c,0.09700466947332176
C02763,M_phpyr_c,0.09700466947332176
C06055,M_phthr_c,0.09580995440341411
C00009,M_pi_c,1.0366658338806234
C13558,M_pi_c,1.0366658338806234
C19845,M_pimACP_c,
