met_id,name,kegg_id,pubchem_id,moldb_smiles
ECMDB01022,Succinyl-CoA,C00091,439161,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O
ECMDB01024,Phosphohydroxypyruvic acid,C03232,105,OC(=O)C(=O)COP(O)(O)=O
ECMDB01031,Deoxyribose 5-phosphate,C00673,635,[H]C1(O)C[C@]([H])(O)[C@@]([H])(COP(O)(O)=O)O1
ECMDB01044,2'-Deoxyguanosine 5'-monophosphate,C00362,65059,NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
ECMDB01049,gamma-Glutamylcysteine,C00669,123938,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O
ECMDB01051,D-Glyceraldehyde,C00577,,OCC(O)C=O
ECMDB01052,(S)-3-Hydroxyisobutyryl-CoA,C06000,88,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
ECMDB01056,Dihydrofolic acid,C00415,98792,[H][C@@](CCC([O-])=O)(NC(=O)C1=CC=C(NCC2=NC3=C(NC2)NC(=N)N=C3[O-])C=C1)C(O)=O
ECMDB01058,"Fructose 1,6-bisphosphate",C00354,718,O[C@H]1[C@H](O)[C@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
ECMDB01060,Ubiquinol-8,C00390,,COC1=C(OC)C(O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1O
ECMDB01062,N-Acetyl-D-Glucosamine 6-Phosphate,C00357,440996,CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
ECMDB01066,S-Lactoylglutathione,C03451,119450,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
ECMDB01068,D-Sedoheptulose 7-phosphate,C05382,,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
ECMDB01070,Octanoyl-CoA,C01944,380,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
ECMDB01072,Ubiquinone-10,C11378,1156,COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O
