,JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper,Mean protein number fraction (C-lim),Std protein number fraction (C-lim),Detected in fraction of conditions (all),Detected in fraction of conditions (C-lim),"Ribosome profiling number fraction (Li et al., 2014)",log10(Mean protein number fraction),log10(Ribosome profiling)
39,JW3512,b3543,dppB,dipeptide/heme transporter,0.86,Inner membrane,Dipeptide,Peptide,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12625,Not verified,,7.818472933063063e-05,3.9306427765909655e-05,0.958904109589041,0.9459459459459459,4.799135770227113e-05,-4.106878062989539,-4.318836963460709
40,JW3692,b3714,adeP,"adenine permease, high affinity",0.74,Inner membrane,Adenine,Nucleobase,nucleobase:cation symporter-2 (NCS2) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11724,"here is also a non-energized low-affinity adenine uptake process in anï¿½adePï¿½deletion mutant, suggesting the existence of another independent systemï¿½. Formerly adeP",,5.4197046959467446e-05,5.410384370264736e-05,0.7123287671232876,0.7027027027027027,0.0001023815566113433,-4.266024376268755,-3.9897782717131256
41,JW4072,b4111,proP,proline/glycine betaine transporter,0.88,Inner membrane,"proline, glycine betaine",Amino acid,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11612,ProP is an osmosensing transporter which mediates the uptake of zwitterionic osmolytes such as proline and glycine betaine; ProP function protects cells from dehydration under conditions of h,,9.113690108346894e-05,3.997439187185591e-05,1.0,1.0,0.00010895815934868293,-4.0403057427629,-3.9627402419902307
42,JW4166,b4208,cycA,D-alanine/D-serine/glycine transporter,0.79,Inner membrane,"D-alanine, D-serine, glycine, L-alanine, beta-alanine",Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12504,D-alanine more than L-alanine,,0.00014725501802236208,4.576801153861715e-05,1.0,1.0,9.616046117381008e-05,-3.83192989679696,-4.017003462513126
43,JW5234,b1453,ansP,L-asparagine transporter,0.79,Inner membrane,L-asparagine,Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=G6764,Not verified,,0.0,0.0,0.0,0.0,4.443644231691776e-06,,-5.352260718947658
44,JW5503,b3035,tolC,transport channel,0.89,Outer membrane,Large variety of toxic compounds and metabolites,Drug,Porin,Facilitated diffusion,Porin,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11009-MONOMER,"Induces a large fitness cost in minimal meidum, see https://www.nature.com/articles/s41589-022-01119-y",https://www.nature.com/articles/s41589-022-01119-y,0.0005540834694012277,6.129666200761258e-05,1.0,1.0,0.0005582994129515097,-3.256424806445258,-3.253132828807378
45,JW5585,b3824,rhtB,"homoserine, homoserine lactone and S-methyl-methionine efflux pump",0.87,Inner membrane,"L-homoserine, L-homoserine lactone, L-threonine",Amino acid,resistance to homoserine/threonine (RhtB) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11469,,,0.0,0.0,0.0,0.0,2.9505797698433424e-05,,-4.53009263957964
46,JW5586,b3823,rhtC,threonine efflux pump,0.84,Inner membrane,L-threonine,Amino acid,resistance to homoserine/threonine (RhtB) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11468,,,0.0,0.0,0.0,0.0,4.24812388549734e-05,,-4.371802826671558
47,JW0858,b0874,ybjE,L-lysine/thialysine exporter,0.78,Inner membrane,Lysine,Amino acid,L-lysine exporter (LysE) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=G6458-MONOMER,Now called lysO. Enhanced expression of lysO (foremerly ybjE) results in accumulation of specific L-amino acids in the culture medium of E. coli strains that are capable of producing,,0.0,0.0,0.0,0.0,2.1507238081388205e-05,,-4.667415357303246
48,JW1087,b1101,ptsG,fused glucose-specific PTS enzymes: IIB component/IIC component,0.54,Inner membrane,glucose,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10787,,,0.00037594227468831846,0.000369237251959101,0.958904109589041,0.918918918918919,0.0006139339170827671,-3.4248788351493147,-3.2118783731435707
