Batch-Tube,ionMz,Strain,AUC Z-score (AUC OD),Z-score start (AUC OD),Z-score end (AUC OD),Z-score min (AUC OD),Z-score max (AUC OD),AUC Z-score (Hours),Z-score start (Hours),Z-score end (Hours),Z-score min (Hours),Z-score max (Hours)
2-10C,288.0726,nagE,-2.3032735457040276,-0.8393068844496959,0.1195436018539881,-0.8397113908082432,0.1953069743053844,-6.601832588586598,-0.8382152853300773,0.11901825729497055,-0.8462262713556108,0.1627783920784349
2-10C,289.0331,nagE,-1.9653795295111791,-0.27463398658385857,0.401031709352228,-0.9971512347295572,0.5336662248422681,-4.90069839873683,0.33184267411751533,0.38220032382138003,-1.1512517183839264,0.42345769231795155
2-10C,289.1043,nagE,-2.5536155556049596,-0.791857239822195,0.05032145127000223,-0.7926758404874231,0.17170591458135195,-6.40151602206042,-0.7917220454583767,0.04991686666606239,-0.7948891199085749,0.13719941750391618
2-10C,290.9669,nagE,10.983915000628038,-1.0683576907569832,0.7503005751622523,-1.077612444134506,1.6265796879820498,1.2622672022031198,-0.6695961050250251,0.7654334505943652,-1.2833517643718533,1.6260831090898609
2-10C,304.0351,nagE,7.785170525739415,-0.7013992433729046,1.4487522659571748,-0.7985840109106556,1.4487522659571748,1.43684332863506,-0.7324365657713219,1.4515288432807962,-0.8051537523900666,1.4515288432807962
2-10C,305.0193,nagE,-2.849607722468263,1.1336108938292853,0.1817994705060839,-0.821794401881783,1.1336108938292853,3.0916107167376157,1.1476354241105209,0.18669415909523118,-0.8118756951801542,1.150689717489101
2-10C,305.0297,nagE,18.557365684746458,0.41819927181827726,2.8671851574065492,-0.7540031678700776,3.4776779697981004,12.064676415249458,0.321825287111696,2.905689921586033,-0.6767002492206742,2.9549743715397305
2-10C,306.0491,nagE,-0.8922103486744358,-1.57585128533901,-0.10551228685327191,-1.57585128533901,0.48638362858269635,-7.240083914658116,-1.3903049218145154,-0.10943014169370623,-1.6004107579957636,0.36220697270657964
2-10C,306.0762,nagE,-6.387175858638553,-0.5183474547429787,-0.5513790214982957,-0.5674126297746513,-0.025893259179330896,-6.884004151397454,-0.5222986353132402,-0.5512859363703161,-0.5878210851840802,-0.11687353757757339
2-10C,308.0986,nagE,-5.364965868062641,0.20451670443027706,-0.4927228944761628,-0.7092899728862898,0.20451670443027706,-3.3988942310406878,0.2469304572890666,-0.5049385736467175,-0.7350003209424859,0.2469304572890666
2-10C,308.9787,nagE,9.766832361150218,-0.4924806589565972,0.7164571682180565,-0.9675462266944668,1.957006923756286,2.688558339345784,-0.31555719226380263,0.7483990723232862,-1.0065320337168016,1.790330228716416
2-10C,313.0438,nagE,-3.8493728527076656,-0.7765134890809756,-0.1835697558960423,-0.7792845248260523,0.5713441166468614,-6.679281862621274,-0.7620496738450289,-0.19161222378972453,-0.8224713809134434,0.4459038415844629
2-10C,321.0495,nagE,-5.627118816230026,-0.8721978080847008,-0.13131616413833114,-0.8721978080847008,-0.11110133407012503,-8.211474786682253,-0.8539797375110509,-0.1455563084170436,-0.9251085775637016,-0.1455563084170436
2-10C,321.1113,nagE,-2.811185943075081,0.19237802255891367,-0.4236168857534727,-0.4236168857534727,0.19237802255891367,-2.743088518400304,0.7419308532977995,-0.4110207686184918,-0.48789692925595374,0.7419308532977995
