Batch-Tube,Timepoint,ionMz,Z-score median,Z-score std
5-12A,1.0,275.0184,-2.1713726426021775,0.32261625098165453
5-12A,1.0,275.0991,-0.15199133701279086,0.3162442208581466
5-12A,1.0,277.1207,-0.31731572000652686,0.08407852847678475
5-12A,1.0,277.2169,6.849287589465392,1.054293900335761
5-12A,1.0,279.2331,7.833084283150459,0.5138985133596896
5-12A,1.0,282.0839,0.4958553882355965,0.07106256109638322
5-12A,1.0,283.2063,6.516396183227325,0.4695357341842641
5-12A,1.0,285.0972,1.213872171481102,0.6958083356806424
5-12A,1.0,287.0157,-0.6855341911031914,0.2629595363442414
5-12A,1.0,288.0725,-0.7582912214117239,0.062055503498781625
5-12A,1.0,289.0333,-0.7735139425892046,0.3381597981084898
5-12A,1.0,289.1044,-0.7853065743859469,0.11994436469718837
5-12A,1.0,290.9677,-0.5122678942385894,0.0742425050320766
5-12A,1.0,294.0479,0.6836030982444627,0.40360366382502777
5-12A,1.0,300.0509,-0.4763283952374471,0.7501542780354669
5-12A,1.0,301.0333,-0.4056111997424974,0.3834357944538548
5-12A,1.0,303.2326,1.1500137958831094,1.9423658619755886
5-12A,1.0,305.0207,0.11248474917770002,0.12897090173535972
5-12A,1.0,306.0481,-1.225559818347132,0.059291574569106956
5-12A,1.0,306.0765,-0.32390210970244326,0.015326392535710446
5-12A,1.0,308.0986,1.2398965143055318,0.10311407814262592
5-12A,1.0,313.0441,-0.685326770034704,0.19017014788588563
5-12A,1.0,313.1037,-0.9037317863601178,0.4157813914808805
5-12A,1.0,317.026,-0.35156802281083055,0.3572252466019504
5-12A,1.0,323.0256,-1.1323806526832574,0.2349590408221401
5-12A,1.0,325.1163,0.36556225588793495,0.3759964715123767
5-12A,1.0,328.0457,-1.1623952862024025,0.05639540977874463
5-12A,1.0,333.0589,-1.3575712425854438,0.15902107942345148
5-12A,1.0,338.9884,-1.2307522731743563,0.07988328286289655
5-12A,1.0,339.0928,0.2927803276962761,0.5047834117645379
5-12A,1.0,341.1089,-0.09731770439397128,0.3009480756774571
5-12A,1.0,344.0393,-0.8815196706286709,0.16602123851385348
5-12A,1.0,346.0556,-0.5246319256617011,0.13736093374112796
5-12A,1.0,348.087,-1.1883274704290874,0.16920956477379526
5-12A,1.0,353.0489,-1.5756478451209677,0.3447069933839015
5-12A,1.0,357.089,-0.743667366380736,0.2127467747642715
5-12A,1.0,375.131,0.6037958155461935,0.24748442643840515
5-12A,1.0,377.1496,5.737040545957352,0.5441928795564009
5-12A,1.0,383.1188,-1.3134542455758114,0.23024174349308507
5-12A,1.0,388.9416,-0.29230339746079526,0.12384724923096788
5-12A,1.0,388.9442,-0.7109791132954046,0.15218899992673887
5-12A,1.0,401.0756,0.48479740211248135,0.07557775725685845
5-12A,1.0,407.2795,4.8047109866762785,0.12683334087868994
5-12A,1.0,421.0743,-0.884749931863096,0.4685582418084991
5-12A,1.0,426.0222,-0.6601678538596031,0.2956051541699719
5-12A,1.0,442.9997,0.06546959776480715,0.141290117917818
5-12A,1.0,466.9657,0.21382432043791644,0.2773501138153926
5-12A,1.0,490.9787,0.1993051003458296,0.5539037877406252
5-12A,1.0,503.1614,-2.1553455226972784,0.2922517761219418
5-12A,1.0,547.0731,-1.3122203515724473,0.0672246815350904
5-12A,1.0,565.0471,-0.7955879044464467,0.06755332260555731
5-12A,1.0,578.8872,0.26332085215525486,0.13116473585794342
5-12A,1.0,579.0269,0.9826636629320302,0.08087500936673293
5-12A,1.0,612.2549,-1.3847326547089271,0.18007313435290653
5-12A,1.0,624.2949,-1.7681084346152105,0.366784596032341
5-12A,1.0,659.307,-0.8120713615350149,0.22503814603205832
5-12A,1.0,664.0939,-0.5510330559851586,0.17943595251668493
5-12A,1.0,665.2144,-1.4118329961644007,0.1307565655622342
5-12A,1.0,668.1374,-0.6166614560406312,0.0001384503782251832
5-12A,1.0,787.255,-1.105081445998946,0.29606683519677823
5-12A,1.0,790.2568,-0.7429770052536092,0.12665765758116002
5-12A,1.0,835.0407,-0.7845213951250156,0.11537666996694726
5-12A,1.0,863.2971,-0.900849805247876,0.050997701714275145
5-12A,1.0,864.1473,-1.652086791008987,0.053788833815410456
5-12A,1.0,974.2935,-1.2280900253455398,0.07150566543273539
5-12A,1.0,976.7162,-0.639920477880062,0.10544953948751754
5-12A,2.0,57.0342,0.792896769365095,0.49451779781850363
5-12A,2.0,58.0295,-0.9772412033251879,0.11024687722561265
5-12A,2.0,59.0135,0.1487456997737902,0.12078460475443353
5-12A,2.0,71.0137,0.4365728974788411,0.09155630200530702
5-12A,2.0,73.0293,-0.9671519982444226,0.008303631184464937
5-12A,2.0,74.0247,-1.1712608603855248,0.3059919682149968
5-12A,2.0,75.0087,-0.9003942867635113,0.44573994061784716
5-12A,2.0,87.0088,-0.6535738963203622,0.011947079508211361
5-12A,2.0,87.0451,0.5494766340794047,0.23545499465811792
5-12A,2.0,88.0403,-0.9639276096980133,0.015306032875339146
5-12A,2.0,88.9883,0.5547872344813514,0.5549728848131189
5-12A,2.0,89.0244,-0.16445014334309382,0.08743377821737452
5-12A,2.0,93.0338,-0.07874900268224722,0.013071516978593415
5-12A,2.0,94.9761,-0.3180025425600568,0.2771364940300428
5-12A,2.0,94.9806,0.8563345129249457,0.23886824098146414
5-12A,2.0,95.0139,0.6560281631846072,0.05019981423549808
5-12A,2.0,101.0242,0.8109280074635967,0.21298925732186585
5-12A,2.0,102.056,-0.6029867800451403,0.09641364603436062
