,Strain,ionMz,Rel. abs. distance,Rel. distance,Mean abs. distance,Mean distance,MAE1,MAE2,Mean MAE,Strain 1,Strain 2,p-value rel,p-value abs
105,yeaS,168.0667,1.075512552668206,1.075512552668206,0.38363833587100377,0.38363833587100377,0.42390121566323163,0.2895043785704149,0.3567027971168233,yeaS,WT,0.003,0.015
106,yeaS,169.0503,0.6214199664151852,0.263849219018726,0.27253539104155206,0.115716027755106,0.4875408706350441,0.389596671673871,0.4385687711544576,yeaS,WT,0.218,0.234
107,yeaS,170.0454,2.387700505667941,2.385817568202667,0.3966234440064906,0.39631066728237757,0.27875226274576137,0.05346984221671855,0.16611105248123997,yeaS,WT,0.0,0.0
108,yeaS,170.0825,1.1928168652935038,1.1928168652935038,0.5385330458701367,0.5385330458701367,0.5239036025298823,0.3790565442276429,0.4514800733787626,yeaS,WT,0.001,0.004
109,yeaS,171.0064,1.348164279549433,-1.0793161272321963,0.11532596711874703,-0.09232789956541018,0.09856431800238225,0.07252160805002711,0.08554296302620468,yeaS,WT,0.014,0.023
110,yeaS,172.0615,1.526357945419902,-1.3696236697643034,0.20493490964592664,-0.18389114024944764,0.13799785288410713,0.13053012937702482,0.13426399113056597,yeaS,WT,0.0,0.0
111,yeaS,173.0092,1.048407146512475,1.0472259490185338,0.19169199868604475,0.19147602714368192,0.22083919475861435,0.14484316313775816,0.18284117894818624,yeaS,WT,0.004,0.02
112,yeaS,173.0455,2.2979170728312797,2.172068209174841,0.6503533222639731,0.6147357503551368,0.39533506878376007,0.17070217420749229,0.2830186214956262,yeaS,WT,0.0,0.0
113,yeaS,173.0932,2.110410549182685,-2.0607326427108146,0.12634315033854185,-0.12336910189649332,0.062276152964615576,0.05745709077553889,0.059866621870077234,yeaS,WT,0.0,0.0
114,yeaS,173.1041,0.5163257408545879,-0.48217511838466676,0.08877100578148138,-0.08289954738837303,0.19059099340518168,0.15326560237310952,0.1719282978891456,yeaS,WT,0.056,0.337
115,yeaS,174.0409,3.807130305720672,-3.721238659649839,0.2841165285632894,-0.2777066517388574,0.07642311715213866,0.07283183644709595,0.07462747679961731,yeaS,WT,0.0,0.0
116,yeaS,174.088,2.04837689102194,-1.6622690045443929,0.46590639326477673,-0.3780855759199314,0.21189481469069332,0.24300818222051956,0.22745149845560644,yeaS,WT,0.0,0.0
