ionMz,Metabolite,KEGG,All metabolite names,Alt. annotations,Classes,Classification
173.0579,Menadiol,C07126,Menadiol,,Unknown,Unknown
174.0407,Acetyl-Asp,C01042;C15996,7-Cyano-7-carbaguanine / Acetyl-Asp,7-Cyano-7-carbaguanine,Organoheterocyclic compounds,Organoheterocyclic compounds
175.022,Hexuronic acid,C00072;C04053;C04349,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate / 5-Dehydro-4-deoxy-glucuronate / Hexuronic acid","(4S)-4,6-Dihydroxy-2,5-dioxohexanoate / 5-Dehydro-4-deoxy-glucuronate",Organoheterocyclic compounds;Keto / hydroxy acids,Mixed
175.0361,Ureidosuccinic acid,C00438,Ureidosuccinic acid,,Amino acids,Amino acids
175.0611,3-Propylmalate,C02504;C04411,2-Isopropylmalic acid / 3-Carboxy-3-hydroxy-isocaproate / 3-Propylmalate,2-Isopropylmalic acid / 3-Carboxy-3-hydroxy-isocaproate,Lipid-like molecules;Keto / hydroxy acids,Mixed
177.0402,Glucono-lactone,C00198;C00204;C01216;C03383;C03926,2-Dehydro-3-deoxy-galactonate / 2-Keto-3-deoxy-gluconic acid / 3-Dehydro-2-deoxy-gluconate / Galactonolactone / Glucono-lactone,2-Dehydro-3-deoxy-galactonate / 2-Keto-3-deoxy-gluconic acid / 3-Dehydro-2-deoxy-gluconate / Galactonolactone,Organic oxygen compounds;Keto / hydroxy acids,Mixed
178.0175,S-Carboxymethyl-Cys,C03727,S-Carboxymethyl-Cys,,Unknown,Unknown
178.0509,N-Acetylanthranilate,C06332,N-Acetylanthranilate,,Benzenoids,Other
179.0348,3-(4-Hydroxyphenyl)pyruvate,C01179;C12623,"3-(4-Hydroxyphenyl)pyruvate / Trans-2,3-Dihydroxycinnamate","Trans-2,3-Dihydroxycinnamate",Phenylpropanoids and polyketides;Benzenoids,Other
180.0663,Tyrosine,C00082;C06420,Tyrosine,,Amino acids,Amino acids
181.0505,3-(4-Hydroxyphenyl)lactate,C04044;C12622,"3-(2,3-Dihydroxyphenyl)propanoate / 3-(4-Hydroxyphenyl)lactate / cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol","3-(2,3-Dihydroxyphenyl)propanoate / cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol",Unknown,Unknown
182.9725,3-Phosphonooxypyruvate,C03232,3-Phosphonooxypyruvate,,Organic oxygen compounds,Organic oxygen compounds
183.0661,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol",C11588,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol / cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol","cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol",Unknown,Unknown
184.9856,Phosphoglycerate,C00197;C00597;C00631,2-Phospho-glyceric acid / 3-Phospho-glycerate / Phosphoglycerate,2-Phospho-glyceric acid / 3-Phospho-glycerate,Organic oxygen compounds,Organic oxygen compounds
185.0057,2-Carboxymuconate,C03666,2-Carboxymuconate,,Unknown,Unknown
186.1136,8-Amino-7-oxononanoate,C01092,8-Amino-7-oxononanoate,,Lipid-like molecules,Lipid-like molecules
187.0234,(E)-3-(Methoxycarbonyl)pent-2-enedioate,C04225;C11514,(E)-3-(Methoxycarbonyl)pent-2-enedioate / Cis-2-Methylaconitate / E-3-Carboxy-2-pentenedioate 6-methyl ester,Cis-2-Methylaconitate / E-3-Carboxy-2-pentenedioate 6-methyl ester,Carboxylic acids,Carboxylic acids
187.0976,Azelaic acid,C08261,Azelaic acid,,Unknown,Unknown
188.035,"1-Nitronaphthalene-5,6-oxide",C14800;C14802,"1-Nitronaphthalene-5,6-oxide / 1-Nitronaphthalene-7,8-oxide","1-Nitronaphthalene-7,8-oxide",Benzenoids,Other
188.0565,Acetyl-Glu,C00624,Acetyl-Glu,,Amino acids,Amino acids
189.0405,3-Dehydroquinate,C00944,3-Dehydroquinate,,Keto / hydroxy acids,Keto / hydroxy acids
190.0558,Acetyl-Met,C02712,Acetyl-Met,,Unknown,Unknown
191.0197,(Iso)Citrate,C00158;C00311;C00679;C02780;C03921;C04575,"2,3-Diketo-gulonate / 2,5-Diketo-gluconate / 2-Dehydro-3-deoxy-glucarate / 5-Dehydro-4-deoxy-glucarate / Citric acid / (Iso)Citrate","2,3-Diketo-gulonate / 2,5-Diketo-gluconate / 2-Dehydro-3-deoxy-glucarate / 5-Dehydro-4-deoxy-glucarate / Citric acid",Keto / hydroxy acids;Carboxylic acids,Mixed
192.0663,3-Carbamoyl-2-phenylpropionaldehyde,C16587;C16595,"3-Carbamoyl-2-phenylpropionaldehyde / 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one","4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one",Benzenoids,Other
193.0349,Hexuronate,C00191;C00333;C00558;C00618;C00905;C01062;C06473;C20248,2-Dehydro-gluconate / 3-Dehydro-gulonate / 5-Keto-gluconate / 7-Carboxy-7-carbaguanine / Hexuronate / Galacturonate / Glucuronic acid / Tagaturonate,2-Dehydro-gluconate / 3-Dehydro-gulonate / 5-Keto-gluconate / 7-Carboxy-7-carbaguanine / Galacturonate / Glucuronic acid / Tagaturonate,Organic oxygen compounds;Keto / hydroxy acids,Mixed
194.0682,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",C01300,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine / 6-Hydroxymethyl dihydropterin",6-Hydroxymethyl dihydropterin,Organoheterocyclic compounds,Organoheterocyclic compounds
194.0822,"2-Phenyl-1,3-propanediol monocarbamate",C16586,"2-Phenyl-1,3-propanediol monocarbamate",,Benzenoids,Other
195.0509,Hexonic acid,C00257;C00514;C00770;C00800;C00817;C00880;C15930,"Altronate / Galactonate / 1,7-Dimethyluric acid / Gluconic acid / Gulonate / Idonate / Mannonate","Altronate / Galactonate / 1,7-Dimethyluric acid / Gluconic acid / Gulonate / Idonate / Mannonate",Keto / hydroxy acids,Keto / hydroxy acids
196.0603,Dihydroxy-Phe,C00355,Dihydroxy-Phe,,Amino acids,Amino acids
198.0182,P-homoserine,C01102;C12147,P-homoserine / Threonine O-3-phosphate,Threonine O-3-phosphate,Amino acids,Amino acids
199.0019,D-Erythrose 4-phosphate,C00279,D-Erythrose 4-phosphate,,Other organic acids,Other
199.1701,Dodecanoic acid (FA12:0),C02679,Dodecanoic acid (FA12:0),,Unknown,Unknown
200.9937,Benzoyl phosphate,C06206,Benzoyl phosphate,,Benzenoids,Other
203.0826,Tryptophan,C00078,Tryptophan,,Amino acids,Amino acids
204.0498,Lipoamide,C00248,Lipoamide,,Organoheterocyclic compounds,Organoheterocyclic compounds
205.0351,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate",C00725;C02225;C04593;C16241,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate / Lipoate / Methylcitric acid / Methylisocitric acid / lipoate",Lipoate / Methylcitric acid / Methylisocitric acid / lipoate,Organoheterocyclic compounds;Carboxylic acids,Mixed
209.0292,D-Glucarate,C00818;C00879,Galactaric acid / D-Glucarate,Galactaric acid,Organic oxygen compounds,Organic oxygen compounds
211.0235,2-Hydroxy-6-ketononatrienedioate,C12624,2-Hydroxy-6-ketononatrienedioate,,Unknown,Unknown
211.9968,2-Amino-3-oxo-4-phosphonooxybutyrate,C03082;C07335,2-Amino-3-oxo-4-phosphonooxybutyrate / Aspartyl-4-phosphate,Aspartyl-4-phosphate,Amino acids,Amino acids
212.9807,2-Oxo-3-hydroxy-4-phosphobutanoate,C06054,2-Oxo-3-hydroxy-4-phosphobutanoate,,Keto / hydroxy acids,Keto / hydroxy acids
213.014,2-Deoxy-D-ribose 1-phosphate,C00672;C00673;C11437,1-Deoxy-xylulose 5-phosphate / 2-Deoxy-D-ribose 1-phosphate / Deoxyribose 5-phosphate,1-Deoxy-xylulose 5-phosphate / Deoxyribose 5-phosphate,Other organic acids;Organic oxygen compounds,Mixed
213.0384,2-Hydroxy-6-ketononadienedicarboxylate,C04479,2-Hydroxy-6-ketononadienedicarboxylate,,Unknown,Unknown
213.1252,Dethiobiotin,C01909,Dethiobiotin,,Lipid-like molecules,Lipid-like molecules
214.0488,sn-Glycero-3-phosphoethanolamine,C01233,sn-Glycero-3-phosphoethanolamine,,Lipid-like molecules,Lipid-like molecules
215.0331,2-C-Methyl-D-erythritol 4-phosphate,C11434,2-C-Methyl-D-erythritol 4-phosphate,,Other organic acids,Other
216.1351,gamma-Glutamyl-putrescine,C15699,gamma-Glutamyl-putrescine,,Amino acids,Amino acids
218.0335,4-Amino-2-methyl-5-phosphomethylpyrimidine,C04556,4-Amino-2-methyl-5-phosphomethylpyrimidine / 4-amino-5-phosphonooxymethyl-2-methylpyrimidine,4-amino-5-phosphonooxymethyl-2-methylpyrimidine,Other organic acids,Other
218.1034,Pantothenate,C00864,Pantothenate,,Amino acids,Amino acids
220.0828,N-Acetyl-D-glucosamine,C00140;C00645;C05021,N-Acetyl-b-galactosamine / N-Acetyl-D-glucosamine / N-Acetylglucosamine / N-Acetylmannosamine,N-Acetyl-b-galactosamine / N-Acetylglucosamine / N-Acetylmannosamine,Organic oxygen compounds,Organic oxygen compounds
221.0443,2-Succinylbenzoate,C02730,2-Succinylbenzoate,,Organic oxygen compounds,Organic oxygen compounds
221.0664,6-Acetyl-D-glucose,C02655,6-Acetyl-D-glucose,,Unknown,Unknown
225.0399,Chorismate,C00251;C00254;C00885,Chorismate / Isochorismate / Prephenate,Isochorismate / Prephenate,Keto / hydroxy acids;Carboxylic acids,Mixed
225.0861,Porphobilinogen,C00931,Porphobilinogen,,Carboxylic acids,Carboxylic acids
225.0901,Porphobilinogen,C00931,Porphobilinogen,,Carboxylic acids,Carboxylic acids
226.0135,L-Glutamyl 5-phosphate,C03287,L-Glutamyl 5-phosphate,,Amino acids,Amino acids
228.0501,"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde",C04796,"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde",,Unknown,Unknown
229.0122,Arabinose 5-phosphate,C00117;C00199;C00231;C00620;C01101;C01112;C03291,Arabinose 5-phosphate / Ribose-1-phosphate / Ribose-5-phosphate / Ribulose 5-phosphate / Xylulose 5-phosphate,Ribose-1-phosphate / Ribose-5-phosphate / Ribulose 5-phosphate / Xylulose 5-phosphate,Other organic acids;Organic oxygen compounds,Mixed
237.0614,3-Deoxy-D-manno-octulosonate,C01187,3-Deoxy-D-manno-octulosonate,,Keto / hydroxy acids,Keto / hydroxy acids
240.0515,"N-(2,3-Dihydroxybenzoyl)-L-serine",C04204,"N-(2,3-Dihydroxybenzoyl)-L-serine",,Unknown,Unknown
241.0844,Thymidine,C00214,Thymidine,,Nucleotides / nucleosides,Nucleotides / nucleosides
242.0804,Cytidine,C00475;C05711,Cytidine / gamma-Glutamyl-beta-cyanoalanine,gamma-Glutamyl-beta-cyanoalanine,Amino acids;Nucleotides / nucleosides,Mixed
243.029,L-Fuculose 1-phosphate,C01099;C01131;C06369,2-Deoxy-glucose 6-phosphate / L-Fuculose 1-phosphate / Rhamnulose 1-phosphate,2-Deoxy-glucose 6-phosphate / Rhamnulose 1-phosphate,Unknown,Unknown
243.0625,Uridine,C00299;C02067,Pseudouridine / Uridine,Pseudouridine,Nucleotides / nucleosides;Organoheterocyclic compounds,Mixed
245.0444,Glycerophosphoglycerol,C03274,Glycerophosphoglycerol,,Unknown,Unknown
246.0198,Pyridoxal phosphate,C00018,Pyridoxal phosphate,,Organoheterocyclic compounds,Organoheterocyclic compounds
246.064,N-Succinyl-L-glutamate,C05931,N-Succinyl-L-glutamate,,Unknown,Unknown
248.08,S-Acetyldihydrolipoamide,C01136,S-Acetyldihydrolipoamide,,Unknown,Unknown
251.0816,Deoxyinosine,C05512;C15586,Deoxyinosine / Purine nucleoside,Purine nucleoside,Nucleotides / nucleosides,Nucleotides / nucleosides
253.0499,5-L-Glutamyl-taurine,C05844,5-L-Glutamyl-taurine,,Amino acids,Amino acids
253.2173,(9Z)-Hexadecenoic acid,C08362,(9Z)-Hexadecenoic acid,,Unknown,Unknown
257.0072,"D-Glucono-1,5-lactone 6-phosphate",C01236;C01286;C04442,"D-Glucono-1,5-lactone 6-phosphate / 2-Dehydro-3-deoxy-galactonate-6-phosphate / 2-Keto-3-deoxy-6-phosphogluconic acid / 6-Phosphonoglucono-lactone",2-Dehydro-3-deoxy-galactonate-6-phosphate / 2-Keto-3-deoxy-6-phosphogluconic acid / 6-Phosphonoglucono-lactone,Organic oxygen compounds;Keto / hydroxy acids,Mixed
257.1028,sn-Glycero-3-phosphocholine,C00670,sn-Glycero-3-phosphocholine,,Lipid-like molecules,Lipid-like molecules
259.0227,Allose 6-phosphate,C00085;C00092;C00103;C00275;C00446;C00636;C00663;C00668;C01094;C01097;C01172;C01177;C02962;C03267;C03546;C04006;C05345;C06312,Allose 6-phosphate / Alpha-glucose 6-phosphate / Fructose 1-phosphate / Fructose 6-phosphate / Galactose 1-phosphate / Glucose 1-phosphate / Glucose 6-phosphate / Mannose 1-phosphate / Mannose 6-phosphate / Myo-inositol (1)-monophosphate / Myo-inositol 1-phosphate / Myo-inositol 4-phosphate / Tagatose 6-phosphate / Tagatose-6-phosphate / beta-Fructose 2-phosphate / beta-Fructose 6-phosphate / beta-Glucose 1-phosphate / beta-Glucose 6-phosphate,Alpha-glucose 6-phosphate / Fructose 1-phosphate / Fructose 6-phosphate / Galactose 1-phosphate / Glucose 1-phosphate / Glucose 6-phosphate / Mannose 1-phosphate / Mannose 6-phosphate / Myo-inositol (1)-monophosphate / Myo-inositol 1-phosphate / Myo-inositol 4-phosphate / Tagatose 6-phosphate / Tagatose-6-phosphate / beta-Fructose 2-phosphate / beta-Fructose 6-phosphate / beta-Glucose 1-phosphate / beta-Glucose 6-phosphate,Lipid-like molecules;Other organic acids;Organic oxygen compounds,Mixed
261.0385,D-Mannitol 1-phosphate,C00644;C01096;C02810;C06311,D-Mannitol 1-phosphate / Mannitol 1-phosphate / Sorbitol 6-phosphate / Sorbitol-6-phosphate,Mannitol 1-phosphate / Sorbitol 6-phosphate / Sorbitol-6-phosphate,Other organic acids,Other
266.0703,S-Ribosyl-L-homocysteine,C03539,S-Ribosyl-L-homocysteine,,Unknown,Unknown
267.0724,2(alpha-D-Mannosyl)-D-glycerate,C00294;C11544,2(alpha-D-Mannosyl)-D-glycerate / Inosine,Inosine,Nucleotides / nucleosides,Nucleotides / nucleosides
267.2328,omega-Cyclohexylundecanoic acid,C16536,omega-Cyclohexylundecanoic acid,,Unknown,Unknown
268.02,N-Acetyl-L-glutamate 5-phosphate,C04133,N-Acetyl-5-glutamyl phosphate / N-Acetyl-L-glutamate 5-phosphate,N-Acetyl-5-glutamyl phosphate,Amino acids,Amino acids
273.0021,3-Dehydro-gulonate 6-phosphate,C05385;C14899,3-Dehydro-gulonate 6-phosphate / Glucuronate 1-phosphate,Glucuronate 1-phosphate,Organic oxygen compounds,Organic oxygen compounds
274.0933,"1,6-Anhydro-N-acetyl-beta-muramate",C19769,"1,6-Anhydro-N-acetyl-beta-muramate",,Organoheterocyclic compounds,Organoheterocyclic compounds
275.0184,6-Phosphogluconate,C00345,6-Phosphogluconate,,Keto / hydroxy acids,Keto / hydroxy acids
275.0991,5-Amino-6-(1-D-ribitylamino)uracil,C04732,5-Amino-6-ribitylamino uracil / 5-Amino-6-(1-D-ribitylamino)uracil,5-Amino-6-ribitylamino uracil,Organoheterocyclic compounds,Organoheterocyclic compounds
277.1207,alpha-Ribazole,C00831;C05775,alpha-Ribazole / Pantetheine,Pantetheine,Amino acids;Nucleotides / nucleosides,Mixed
277.2169,"(6Z,9Z,12Z)-Octadecatrienoic acid",C06427,"(6Z,9Z,12Z)-Octadecatrienoic acid",,Lipid-like molecules,Lipid-like molecules
282.0839,Guanosine,C00387,Guanosine,,Nucleotides / nucleosides,Nucleotides / nucleosides
283.2063,Retinal,C00376,Retinal,,Lipid-like molecules,Lipid-like molecules
285.0972,Salicin,C01451,Salicin,,Benzenoids,Other
287.0157,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C04691,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,,Keto / hydroxy acids,Keto / hydroxy acids
288.0725,N-Succinyl-2-L-amino-6-oxoheptanedioate,C04462,N-Succinyl-2-L-amino-6-oxoheptanedioate,,Amino acids,Amino acids
289.0333,Sedoheptulose P,C05382;C07836;C07838;C19882,Glycero-manno-heptose 1-phosphate / Glycero-manno-heptose 7-phosphate / Sedoheptulose P / glycero-beta-manno-heptose 7-phosphate,Glycero-manno-heptose 1-phosphate / Glycero-manno-heptose 7-phosphate / glycero-beta-manno-heptose 7-phosphate,Organic oxygen compounds,Organic oxygen compounds
289.1044,"N-Succinyl-LL-2,6-diaminoheptanedioate",C04421,"N-Succinyl-LL-2,6-diaminoheptanedioate",,Amino acids,Amino acids
290.9677,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",C20440,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",,Unknown,Unknown
294.0479,Aminoimidazole ribotide,C03373,Aminoimidazole ribotide,,Organic oxygen compounds,Organic oxygen compounds
300.0509,Acetylglucosamine P,C00357;C04256;C04257;C04501;C06376;C18060,Glucosamine-1P / N-Acetyl-Glucosamine 6-Phosphate / N-Acetyl-galactosamine 1-phosphate / N-Acetyl-galactosamine 6-phosphate / Acetylglucosamine P / N-Acetyl-mannosamine 6-phosphate,Glucosamine-1P / N-Acetyl-Glucosamine 6-Phosphate / N-Acetyl-galactosamine 1-phosphate / N-Acetyl-galactosamine 6-phosphate / N-Acetyl-mannosamine 6-phosphate,Organic oxygen compounds,Organic oxygen compounds
301.0333,Quercetin,C00389,Quercetin,,Phenylpropanoids and polyketides,Other
305.0207,"2',3'-Cyclic UMP",C02355,"2',3'-Cyclic UMP",,Nucleotides / nucleosides,Nucleotides / nucleosides
306.0481,dCMP,C00239,dCMP,,Nucleotides / nucleosides,Nucleotides / nucleosides
306.0765,Glutathione,C00051,Glutathione,,Amino acids,Amino acids
313.0441,5'-Phosphoribosyl-N-formylglycineamide,C04376,5'-Phosphoribosyl-N-formylglycineamide,,Nucleotides / nucleosides,Nucleotides / nucleosides
313.1037,Dihydropteroate,C00921,Dihydropteroate,,Organoheterocyclic compounds,Organoheterocyclic compounds
317.026,3-Deoxy-D-manno-octulosonate 8-phosphate,C04478,3-Deoxy-D-manno-octulosonate 8-phosphate,,Keto / hydroxy acids,Keto / hydroxy acids
323.0256,UMP,C00105;C01168;C01368,3'-UMP / Pseudouridine 5'-phosphate / Uridine 5'-monophosphate,3'-UMP / Pseudouridine 5'-phosphate / Uridine 5'-monophosphate,Nucleotides / nucleosides;Organic oxygen compounds,Mixed
325.1163,"6,7-Dimethyl-8-(D-ribityl)luma...",C04332,"6,7-Dimethyl-8-(D-ribityl)luma...",,Organoheterocyclic compounds,Organoheterocyclic compounds
328.0457,"3',5'-Cyclic AMP",C00575;C02353,"Adenosine 2',3'-cyclic phosphate / 3',5'-Cyclic AMP","Adenosine 2',3'-cyclic phosphate",Nucleotides / nucleosides,Nucleotides / nucleosides
333.0589,sn-Glycero-3-phospho-1-inositol,C01225,sn-Glycero-3-phospho-1-inositol,,Lipid-like molecules,Lipid-like molecules
335.2224,5(S)-Hydroperoxyeicosatetraenoic acid,C05356,5(S)-Hydroperoxyeicosatetraenoic acid,,Unknown,Unknown
338.9884,"Fructose 1,6-bisphosphate",C00354;C01231;C03785;C05378,"Fructose 1,6-bisphosphate / Tagatose 1,6-bisphosphate / alpha-Glucose 1,6-bisphosphate / beta-Fructose 1,6-bisphosphate","Tagatose 1,6-bisphosphate / alpha-Glucose 1,6-bisphosphate / beta-Fructose 1,6-bisphosphate",Organic oxygen compounds,Organic oxygen compounds
344.0393,cGMP,C00942;C06194,"cGMP / Guanosine 2',3'-cyclic phosphate","Guanosine 2',3'-cyclic phosphate",Nucleotides / nucleosides,Nucleotides / nucleosides
348.087,S-(Formylmethyl)glutathione,C14871,S-(Formylmethyl)glutathione,,Amino acids,Amino acids
353.0489,5-Amino-6-(5'-phosphoribosylamino)uracil,C01268,5-Amino-6-(5'-phosphoribosylamino)uracil,,Unknown,Unknown
375.131,Riboflavin,C00255,Riboflavin,,Organoheterocyclic compounds,Organoheterocyclic compounds
377.1496,Reduced riboflavin,C01007,Reduced riboflavin,,Organoheterocyclic compounds,Organoheterocyclic compounds
383.1188,Acetyl-maltose,C02130,Acetyl-maltose,,Unknown,Unknown
388.9416,Phosphoribosyl pyrophosphate,C00119,Phosphoribosyl pyrophosphate,,Organic oxygen compounds,Organic oxygen compounds
388.9442,Phosphoribosyl pyrophosphate,C00119,Phosphoribosyl pyrophosphate,,Organic oxygen compounds,Organic oxygen compounds
391.2848,Chenodeoxycholate,C04483,Chenodeoxycholate,,Unknown,Unknown
401.0756,(R)-4'-Phosphopantothenoyl-L-cysteine,C04352,(R)-4'-Phosphopantothenoyl-L-cysteine,,Other organic acids,Other
407.2795,Cholate,C00695,"3-Alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholanate / Cholate","3-Alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholanate",Lipid-like molecules,Lipid-like molecules
409.2338,1-Palmitoylglycerol 3-phosphate,C04036,1-Palmitoylglycerol 3-phosphate,,Unknown,Unknown
421.0743,"alpha,alpha'-Trehalose 6-phosphate",C00689;C02995;C04534;C16688,"6-Phospho-beta-glucosyl-(1,4)-glucose / Cellobiose-6-phosphate / Maltose 6'-phosphate / Sucrose-6-phosphate / alpha,alpha'-Trehalose 6-phosphate / alpha,alpha-Trehalose 6-phosphate","6-Phospho-beta-glucosyl-(1,4)-glucose / Cellobiose-6-phosphate / Maltose 6'-phosphate / Sucrose-6-phosphate / alpha,alpha-Trehalose 6-phosphate",Organic oxygen compounds,Organic oxygen compounds
426.0222,ADP,C00008;C00054;C00361,"ADP / Adenosine 3',5'-diphosphate / dGDP","Adenosine 3',5'-diphosphate / dGDP",Nucleotides / nucleosides,Nucleotides / nucleosides
442.9997,XDP,C01337,XDP,,Unknown,Unknown
466.9657,dUTP,C00460,Deoxyuridine triphosphate,Deoxyuridine triphosphate,Nucleotides / nucleosides,Nucleotides / nucleosides
490.9787,dITP,C01345,2'-Deoxyinosine triphosphate,2'-Deoxyinosine triphosphate,Organic oxygen compounds,Organic oxygen compounds
503.1614,Gal alpha 1->6Gal alpha 1->6Glucose,C01835;C05404,Gal alpha 1->6Gal alpha 1->6Glucose / Maltotriose,Maltotriose,Organic oxygen compounds,Organic oxygen compounds
547.0731,dTDP-6-deoxy-beta-L-talose,C03319,Deoxythymidine diphosphate-rhamnose,Deoxythymidine diphosphate-rhamnose,Organic oxygen compounds,Organic oxygen compounds
565.0471,UDP-hexose,C00029;C00052;C03733,"UDP-Galacto-1,4-furanose / UDP-Glucose / Uridine diphosphategalactose","UDP-Galacto-1,4-furanose / UDP-Glucose / Uridine diphosphategalactose",Nucleotides / nucleosides;Other,Mixed
578.8872,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",C04563;C04579,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate / Inositol 1,2,3,5,6-pentakisphosphate / Myo-inositol 1,2,4,5,6-pentakisphosphate","Inositol 1,2,3,5,6-pentakisphosphate / Myo-inositol 1,2,4,5,6-pentakisphosphate",Unknown,Unknown
579.0269,UDP-glucuronate,C00167,UDP-Glucuronic acid / Uridine diphosphate glucuronic acid,UDP-Glucuronic acid / Uridine diphosphate glucuronic acid,Nucleotides / nucleosides,Nucleotides / nucleosides
612.2549,Ferroxamine,C07597,Ferroxamine,,Carboxylic acids,Carboxylic acids
659.307,Coproporphyrinogen III,C03263;C05768,Coproporphyrinogen III / Coproporphyrinogen I / Coproporphyrinogen III,Coproporphyrinogen I,Organoheterocyclic compounds,Organoheterocyclic compounds
664.0939,Nicotinamide hypoxanthine dinucleotide,C00857;C04423,Nicotinamide hypoxanthine dinucleotide / Nicotinic acid adenine dinucleotide,Nicotinic acid adenine dinucleotide,Nucleotides / nucleosides,Nucleotides / nucleosides
665.2144,Glycogen,C00182;C02052,Glycogen / Maltotetraose,Maltotetraose,Organic oxygen compounds,Organic oxygen compounds
668.1374,Enterochelin,C05821,Enterochelin,,Other organic acids,Other
790.2568,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,C06022,UDP-3-O-(3-Hydroxytetradecanoyl)-glucosamine,UDP-3-O-(3-Hydroxytetradecanoyl)-glucosamine,Unknown,Unknown
835.0407,"P1,P4-Bis(5'-adenosyl)tetraphosphate",C01260,"P1,P4-Bis(5'-adenosyl)tetraphosphate",,Nucleotides / nucleosides,Nucleotides / nucleosides
849.2765,Precorrin 1,C15527,Precorrin 1,,Unknown,Unknown
861.6729,Ubiquinone-10,C11378,Ubiquinone-10,,Unknown,Unknown
863.2971,Precorrin 2,C02463,Precorrin 2,,Unknown,Unknown
864.1473,2-Methylacetoacetyl-CoA,C03344,2-Methylacetoacetyl-CoA,,Lipid-like molecules,Lipid-like molecules
974.2935,trans-Tetradec-2-enoyl-CoA,C05273,trans-Tetradec-2-enoyl-CoA,,Lipid-like molecules,Lipid-like molecules
976.7162,undecaprenyl phosphate-4-amino-4-deoxy-arabinose,C16157,undecaprenyl phosphate-4-amino-4-deoxy-arabinose,,Lipid-like molecules,Lipid-like molecules
